datetime,open,high,low,close,volume
2025-01-08T04:00:00,1227,1990,1227,1486,389397521.224525
2025-01-08T08:00:00,1484,1547,1326,1360,180097776.152594
2025-01-08T12:00:00,1359,1416,1227,1291,219181265.686067
2025-01-08T16:00:00,1291,1395,1236,1300,62350964.149165
2025-01-08T20:00:00,1301,1379,1266,1325,35910305.967595
2025-01-09T00:00:00,1323,1326,1180,1195,68353705.679135
2025-01-09T04:00:00,1196,1231,1153,1171,47060509.568746
2025-01-09T08:00:00,1169,1195,1110,1121,54497758.804179
2025-01-09T12:00:00,1121,1312,1117,1249,54666158.090473
2025-01-09T16:00:00,1249,1282,1163,1171,28077540.200915
2025-01-09T20:00:00,1171,1195,1141,1147,17054583.757332
2025-01-10T00:00:00,1147,1483,1111,1253,319625374.128716
2025-01-10T04:00:00,1255,1337,1235,1278,79342050.458065
2025-01-10T08:00:00,1278,1283,1203,1220,46667477.425916
2025-01-10T12:00:00,1220,1236,1145,1196,36035329.980336
2025-01-10T16:00:00,1196,1265,1187,1230,13508197.445475
2025-01-10T20:00:00,1230,1231,1192,1205,8107159.329365
2025-01-11T00:00:00,1205,1270,1163,1167,50443538.682369
2025-01-11T04:00:00,1168,1180,1156,1168,12472040.526643
2025-01-11T08:00:00,1169,1233,1163,1180,27685749.064817
2025-01-11T12:00:00,1182,1225,1180,1212,14690392.751641
2025-01-11T16:00:00,1212,1220,1177,1213,10213024.411033
2025-01-11T20:00:00,1213,1235,1202,1217,11312872.604852
2025-01-12T00:00:00,1217,1217,1179,1185,15262577.329245
2025-01-12T04:00:00,1185,1196,1168,1182,8298318.326419
2025-01-12T08:00:00,1182,1197,1166,1173,9102966.81529
2025-01-12T12:00:00,1173,1179,1151,1167,9328375.64124
2025-01-12T16:00:00,1167,1169,1134,1154,9708771.87712
2025-01-12T20:00:00,1154,1156,1115,1125,11502703.783686
2025-01-13T00:00:00,1125,1162,1063,1075,31835372.640406
2025-01-13T04:00:00,1074,1083,1038,1043,14214872.473525
2025-01-13T08:00:00,1043,1043,1002,1008,19714556.445129
2025-01-13T12:00:00,1009,1058,1004,1027,16143675.152174
2025-01-13T16:00:00,1027,1035,990,1012,7838344.266103
2025-01-13T20:00:00,1013,1077,1009,1065,7033163.26103
2025-01-14T00:00:00,1065,1092,1035,1059,17753140.607225
2025-01-14T04:00:00,1058,1090,1040,1041,10512832.17395
2025-01-14T08:00:00,1041,1075,1040,1051,10617917.785701
2025-01-14T12:00:00,1051,1084,1044,1065,10323449.071401
2025-01-14T16:00:00,1065,1128,1054,1108,11730492.588373
2025-01-14T20:00:00,1107,1120,1090,1103,5726155.675682
2025-01-15T00:00:00,1101,1105,1061,1091,12971551.206236
2025-01-15T04:00:00,1091,1106,1060,1068,5680824.518261
2025-01-15T08:00:00,1068,1074,1030,1043,9738911.072145
2025-01-15T12:00:00,1044,1093,1037,1083,10634452.293902
2025-01-15T16:00:00,1082,1112,1072,1106,5269216.540857
2025-01-15T20:00:00,1107,1121,1084,1094,7617272.824729
2025-01-16T00:00:00,1094,1094,1051,1062,9138492.134413
2025-01-16T04:00:00,1062,1078,1054,1077,5097377.300861
2025-01-16T08:00:00,1078,1098,1042,1051,12095348.521324
2025-01-16T12:00:00,1051,1057,1014,1034,14234177.040685
2025-01-16T16:00:00,1034,1045,1031,1044,3339174.071379
2025-01-16T20:00:00,1044,1047,1025,1034,5805570.099481
2025-01-17T00:00:00,1034,1064,1023,1059,14178374.31797
2025-01-17T04:00:00,1059,1076,1052,1055,11649591.271683
2025-01-17T08:00:00,1053,1067,1043,1049,12903591.707318
2025-01-17T12:00:00,1049,1056,1041,1053,7205245.669694
2025-01-17T16:00:00,1053,1062,1032,1038,4087723.16348
2025-01-17T20:00:00,1039,1063,1038,1057,3968622.140334
2025-01-18T00:00:00,1056,1083,1019,1019,19633330.773261
2025-01-18T04:00:00,1019,1024,998,1010,17981059.980227
2025-01-18T08:00:00,1010,1062,1001,1024,19187550.444379
2025-01-18T12:00:00,1024,1072,1012,1064,14145982.601938
2025-01-18T16:00:00,1064,1101,1052,1072,24075996.234739
2025-01-18T20:00:00,1072,1119,1057,1112,13610571.778843
2025-01-19T00:00:00,1112,1175,1065,1067,42399216.124009
2025-01-19T04:00:00,1068,1097,1055,1073,15532677.832884
2025-01-19T08:00:00,1074,1074,1021,1028,15357561.210181
2025-01-19T12:00:00,1028,1049,1020,1029,11895831.093942
2025-01-19T16:00:00,1031,1038,1020,1029,4262052.315878
2025-01-19T20:00:00,1028,1035,950.1,969,26347548.655832
2025-01-20T00:00:00,969,971,899,911.8,27215817.884959
2025-01-20T04:00:00,911.8,959.2,900.1,943.9,16263569.290464
2025-01-20T08:00:00,943.9,960.9,925,935,10693091.291215
