datetime,open,high,low,close,volume
2025-05-28T12:00:00,103.3,315,95.2,95.81,1328030056.55611
2025-05-28T16:00:00,95.81,100,87,90.2,505651774.09711
2025-05-28T20:00:00,90.4,96,89.82,92.71,289980497.340114
2025-05-29T00:00:00,92.71,92.99,87.35,90.15,352253207.308079
2025-05-29T04:00:00,90.15,90.89,87.78,88.81,132837053.418157
2025-05-29T08:00:00,88.81,89.11,83.78,85.95,263639029.888296
2025-05-29T12:00:00,85.95,87.16,84.51,85.26,143577231.834321
2025-05-29T16:00:00,85.28,85.34,78.01,79.74,160741953.383467
2025-05-29T20:00:00,79.77,81.35,78.71,79.65,119690887.889383
2025-05-30T00:00:00,79.65,80.7,74.15,74.97,273261390.808439
2025-05-30T04:00:00,74.99,76.1,72.72,73.7,163150158.570386
2025-05-30T08:00:00,73.73,76.26,70.78,73.79,299323839.830379
2025-05-30T12:00:00,73.79,88.35,72.5,81.11,1291757979.713305
2025-05-30T16:00:00,81.12,88.98,79.43,82.89,448789194.295499
2025-05-30T20:00:00,82.89,85.81,79.5,84.91,325428499.425284
2025-05-31T00:00:00,84.79,87.89,72.98,75.2,597013586.98434
2025-05-31T04:00:00,75.19,79.09,74.2,76.91,211853306.363167
2025-05-31T08:00:00,77.05,77.76,70.33,71.61,257009716.152912
2025-05-31T12:00:00,71.59,73.37,68.9,69.85,127009896.082251
2025-05-31T16:00:00,69.86,71.55,68.4,68.52,55345288.171304
2025-05-31T20:00:00,68.52,71.25,68.5,70.5,62495554.471106
2025-06-01T00:00:00,70.5,71.09,67.08,69.53,173721367.078773
2025-06-01T04:00:00,69.53,77.84,68.8,75.81,335586412.582446
2025-06-01T08:00:00,75.71,78.2,72.27,72.9,249975800.939944
2025-06-01T12:00:00,72.91,74.1,71.69,73.63,79928174.009305
2025-06-01T16:00:00,73.63,76.5,73.49,74.43,44158971.699101
2025-06-01T20:00:00,74.43,76.72,73.91,75.38,44952411.813626
2025-06-02T00:00:00,75.44,75.77,71.48,71.78,79898164.003415
2025-06-02T04:00:00,71.78,82.43,69.56,81.08,448938101.860002
2025-06-02T08:00:00,81.08,88.5,76.73,78.9,1416998171.305397
2025-06-02T12:00:00,78.9,90.34,77.44,88.96,732996838.30592
2025-06-02T16:00:00,88.96,90.45,82.9,84.3,359908077.844591
2025-06-02T20:00:00,84.3,86.48,82.22,83.53,172513370.464677
2025-06-03T00:00:00,83.53,104.2,82.59,100,1602208134.267853
2025-06-03T04:00:00,99.97,101.5,91.68,92.25,749064234.562521
2025-06-03T08:00:00,92.24,98.33,91.7,98,625354511.693684
2025-06-03T12:00:00,98,98.77,93.24,93.61,437398606.70812
2025-06-03T16:00:00,93.64,93.79,84.97,85.64,281824844.760759
2025-06-03T20:00:00,85.64,89.79,84.28,88.4,316015982.212728
2025-06-04T00:00:00,88.44,89.99,80.1,81.26,535642846.046076
2025-06-04T04:00:00,81.27,81.96,79.44,80.23,172727354.309182
2025-06-04T08:00:00,80.23,81.37,77.3,80.74,262211479.995031
2025-06-04T12:00:00,80.63,80.72,78.1,78.58,131422776.176601
2025-06-04T16:00:00,78.69,80.95,75.89,77.44,116077715.822317
2025-06-04T20:00:00,77.31,78.7,75.89,77.08,95150365.353669
2025-06-05T00:00:00,77.09,84.32,73.69,78.48,678932001.359145
