datetime,open,high,low,close,volume
2020-07-01T00:00:00,241,243,238,240,259314.580677
2020-07-01T04:00:00,239,242,237,239,390746.773399
2020-07-01T08:00:00,239,242,238,241,320884.097723
2020-07-01T12:00:00,242,250,240,249,899206.602309
2020-07-01T16:00:00,249,251,246,247,316906.169037
2020-07-01T20:00:00,247,249,242,249,510479.435369
2020-07-02T00:00:00,249,250,244,247,442592.891607
2020-07-02T04:00:00,247,249,244,246,727949.86709
2020-07-02T08:00:00,244,247,243,243,298361.572451
2020-07-02T12:00:00,244,249,240,242,569347.962158
2020-07-02T16:00:00,241,249,238,247,435657.505277
2020-07-02T20:00:00,245,247,240,241,366403.989494
2020-07-03T00:00:00,242,247,240,245,1054392.117304
2020-07-03T04:00:00,245,246,242,244,491660.999715
2020-07-03T08:00:00,244,245,238,239,1012113.938292
2020-07-03T12:00:00,239,243,239,242,390864.568691
2020-07-03T16:00:00,242,242,240,241,319024.816074
2020-07-03T20:00:00,240,242,239,239,275164.887795
2020-07-04T00:00:00,240,243,239,241,325972.205084
2020-07-04T04:00:00,241,243,240,240,513882.09527
2020-07-04T08:00:00,240,241,238,238,523411.256491
2020-07-04T12:00:00,239,241,238,239,301784.404147
2020-07-04T16:00:00,239,241,238,239,302530.575674
2020-07-04T20:00:00,239,241,239,241,132707.549422
2020-07-05T00:00:00,241,242,239,240,378075.529935
2020-07-05T04:00:00,241,241,237,238,495999.787106
2020-07-05T08:00:00,238,239,235,235,472024.919656
2020-07-05T12:00:00,235,236,233,235,331056.746112
2020-07-05T16:00:00,236,237,235,236,119491.488092
2020-07-05T20:00:00,236,239,234,239,376588.615101
2020-07-06T00:00:00,239,239,236,238,513107.15898
2020-07-06T04:00:00,238,241,237,240,634202.058953
2020-07-06T08:00:00,240,243,239,243,646127.77303
2020-07-06T12:00:00,242,244,240,242,530114.346988
2020-07-06T16:00:00,242,244,241,242,557024.701756
2020-07-06T20:00:00,242,244,239,243,511748.314541
2020-07-07T00:00:00,243,245,240,243,933660.962396
2020-07-07T04:00:00,242,244,240,241,475100.67346
2020-07-07T08:00:00,242,244,240,244,359163.244249
2020-07-07T12:00:00,243,249,243,246,785899.764478
2020-07-07T16:00:00,245,247,243,244,272793.101835
2020-07-07T20:00:00,245,246,242,246,627828.695388
2020-07-08T00:00:00,246,251,244,251,1644470.702165
2020-07-08T04:00:00,250,251,247,249,1153513.345742
2020-07-08T08:00:00,250,254,249,254,1124396.620298
2020-07-08T12:00:00,254,255,249,251,1918786.341752
2020-07-08T16:00:00,251,254,249,252,365179.737357
2020-07-08T20:00:00,253,257,251,257,905356.040042
2020-07-09T00:00:00,257,269,254,260,4996603.982629
2020-07-09T04:00:00,259,266,259,264,1840069.836467
2020-07-09T08:00:00,264,265,256,259,862410.999281
2020-07-09T12:00:00,259,263,245,250,2933749.959685
2020-07-09T16:00:00,250,256,249,253,560885.656898
2020-07-09T20:00:00,253,258,251,254,562248.857964
2020-07-10T00:00:00,253,254,248,252,1336085.947783
2020-07-10T04:00:00,251,253,246,248,1444499.152173
2020-07-10T08:00:00,248,252,248,251,666908.212301
2020-07-10T12:00:00,250,256,249,254,946623.23971
2020-07-10T16:00:00,254,255,251,255,186919.463368
2020-07-10T20:00:00,254,256,252,254,336815.681194
2020-07-11T00:00:00,254,260,253,258,1129096.848021
2020-07-11T04:00:00,257,259,254,257,918344.741302
2020-07-11T08:00:00,257,258,251,253,1155374.497284
2020-07-11T12:00:00,253,256,252,252,571136.122297
2020-07-11T16:00:00,252,255,251,253,327746.607437
2020-07-11T20:00:00,253,255,251,253,274075.930637
2020-07-12T00:00:00,253,254,249,251,1142505.466356
2020-07-12T04:00:00,251,252,249,251,794780.03455
2020-07-12T08:00:00,250,252,249,251,328054.14123
2020-07-12T12:00:00,251,252,248,249,597439.41581
2020-07-12T16:00:00,249,250,248,249,76595.067754
2020-07-12T20:00:00,248,251,248,249,475140.596555
2020-07-13T00:00:00,250,258,248,253,3765032.386325
2020-07-13T04:00:00,252,256,252,254,1152755.390061
2020-07-13T08:00:00,253,255,252,253,566921.06092
2020-07-13T12:00:00,253,254,250,251,1480373.934664
2020-07-13T16:00:00,251,253,249,251,316923.630493
2020-07-13T20:00:00,251,252,248,251,274276.724023
2020-07-14T00:00:00,251,251,245,246,1817378.105331
2020-07-14T04:00:00,245,247,242,245,1295737.887291
2020-07-14T08:00:00,245,248,243,246,559174.910603
2020-07-14T12:00:00,247,250,245,248,959906.471212
2020-07-14T16:00:00,248,250,246,250,146307.117068
2020-07-14T20:00:00,250,250,248,249,233806.81624
2020-07-15T00:00:00,248,252,247,249,983362.040747
2020-07-15T04:00:00,248,249,247,248,292975.855648
2020-07-15T08:00:00,248,249,245,246,561835.858373
2020-07-15T12:00:00,247,248,245,246,381141.661011
2020-07-15T16:00:00,246,247,243,244,330434.370934
2020-07-15T20:00:00,244,246,243,245,249894.28672
2020-07-16T00:00:00,246,246,243,244,435602.435481
2020-07-16T04:00:00,243,245,239,239,1268212.280361
2020-07-16T08:00:00,240,241,235,238,1165685.755663
