datetime,open,high,low,close,volume
2021-04-05T04:00:00,2950,5725,1825,2405,71510197.040348
2021-04-05T08:00:00,2395,2470,2090,2265,29760999.024784
2021-04-05T12:00:00,2265,3960,2265,3015,147989143.033755
2021-04-05T16:00:00,3015,3220,2785,3040,23671424.447673
2021-04-05T20:00:00,3040,3565,2805,3380,32248637.729136
2021-04-06T00:00:00,3385,3530,2960,3040,25085857.922118
2021-04-06T04:00:00,3045,3260,3005,3010,8261094.098004
2021-04-06T08:00:00,3005,3040,2570,2815,11811937.93444
2021-04-06T12:00:00,2815,2855,2525,2670,7378142.849285
2021-04-06T16:00:00,2665,2740,2520,2540,1995423.412277
2021-04-06T20:00:00,2550,2760,2510,2680,3578252.961042
2021-04-07T00:00:00,2675,2765,2325,2370,13324962.219029
2021-04-07T04:00:00,2365,2540,1755,2090,8999617.667165
2021-04-07T08:00:00,2090,2195,1900,1925,3675953.951022
2021-04-07T12:00:00,1925,2190,1770,2050,4241650.81483
2021-04-07T16:00:00,2055,2150,2005,2120,492067.090638
2021-04-07T20:00:00,2120,2265,2075,2215,1242612.083495
2021-04-08T00:00:00,2220,2380,2020,2160,4834314.058683
2021-04-08T04:00:00,2160,2330,2120,2330,1916989.436018
2021-04-08T08:00:00,2330,2435,2230,2335,2463287.862071
2021-04-08T12:00:00,2335,2430,2300,2425,2777100.214532
2021-04-08T16:00:00,2425,2435,2375,2385,633186.835009
2021-04-08T20:00:00,2385,2505,2365,2480,1543110.521133
2021-04-09T00:00:00,2480,2905,2350,2670,20287948.545245
2021-04-09T04:00:00,2675,2750,2625,2665,4086070.606894
2021-04-09T08:00:00,2665,2675,2460,2595,5100930.440672
2021-04-09T12:00:00,2595,2620,2500,2555,2903827.257137
2021-04-09T16:00:00,2555,2630,2535,2630,951468.997438
2021-04-09T20:00:00,2630,2630,2540,2625,1201318.586532
2021-04-10T00:00:00,2630,2750,2500,2650,4067500.050136
2021-04-10T04:00:00,2650,2845,2510,2660,6268907.413405
2021-04-10T08:00:00,2655,2795,2635,2750,2795350.074003
2021-04-10T12:00:00,2750,3250,2705,2925,27099191.700109
2021-04-10T16:00:00,2920,3045,2805,2850,4923394.158206
2021-04-10T20:00:00,2850,2915,2820,2850,1512996.720221
2021-04-11T00:00:00,2865,2880,2620,2665,3788141.631466
2021-04-11T04:00:00,2665,2725,2495,2620,2545647.002714
2021-04-11T08:00:00,2620,2695,2600,2670,1087846.350059
2021-04-11T12:00:00,2670,2790,2630,2740,1433029.618792
2021-04-11T16:00:00,2740,2765,2690,2750,353387.75231
2021-04-11T20:00:00,2750,2770,2680,2680,731268.362541
2021-04-12T00:00:00,2680,2900,2650,2795,7519895.896584
2021-04-12T04:00:00,2800,3195,2775,2865,20899144.542525
2021-04-12T08:00:00,2870,3220,2835,3040,16401990.542755
2021-04-12T12:00:00,3035,3655,3005,3185,62184126.787192
2021-04-12T16:00:00,3185,3190,3000,3120,2611186.546769
2021-04-12T20:00:00,3120,3140,2900,2930,4939961.869557
2021-04-13T00:00:00,2935,3880,2935,3425,78617090.792569
2021-04-13T04:00:00,3425,3450,3060,3255,19397576.772461
2021-04-13T08:00:00,3250,3565,3100,3440,22111753.484046
2021-04-13T12:00:00,3440,3520,3235,3440,20021253.761415
2021-04-13T16:00:00,3440,3500,2980,3065,15221185.204233
2021-04-13T20:00:00,3065,3190,3045,3125,4415249.563037
2021-04-14T00:00:00,3125,3125,2860,2925,7732579.621893
2021-04-14T04:00:00,2925,2975,2720,2845,5960978.938445
2021-04-14T08:00:00,2845,3250,2800,3125,17469820.682033
2021-04-14T12:00:00,3125,3460,3020,3245,55058981.841841
2021-04-14T16:00:00,3245,3285,3155,3235,22317642.804469
2021-04-14T20:00:00,3235,3575,3195,3520,13631955.690753
2021-04-15T00:00:00,3525,3700,3145,3205,14834613.603652
2021-04-15T04:00:00,3210,3290,3195,3280,6361569.658052
2021-04-15T08:00:00,3285,3355,3175,3245,18135038.27083
2021-04-15T12:00:00,3245,3290,3205,3225,36534009.965938
2021-04-15T16:00:00,3225,3265,3220,3240,1344061.379954
2021-04-15T20:00:00,3235,3455,3215,3400,6747230.699083
