datetime,open,high,low,close,volume
2025-09-22T00:00:00,42,48.4,42,44.8,1734467302.289984
2025-09-22T04:00:00,44.9,46,41.7,41.9,875378802.299067
2025-09-22T08:00:00,41.8,80,41.7,54.5,2752899657.345051
2025-09-22T12:00:00,54.5,57.9,44.7,49.8,3956490530.344818
2025-09-22T16:00:00,49.6,50.4,47.5,48.6,288577078.552388
2025-09-22T20:00:00,48.7,49,45.5,46.2,237970019.230556
2025-09-23T00:00:00,46.2,50.2,44.2,47,1296527727.448738
2025-09-23T04:00:00,47,47.1,44.9,45.6,326448043.249559
2025-09-23T08:00:00,45.6,46.5,43.8,44.2,221794029.400767
2025-09-23T12:00:00,44.2,45.3,42.9,43.6,194936513.897814
2025-09-23T16:00:00,43.7,43.9,42.6,43,38297409.09808
2025-09-23T20:00:00,43.1,44.2,43,44.2,70827195.842324
