datetime,open,high,low,close,volume
2025-07-25T04:00:00,750,935.5,750,825,346171747.514038
2025-07-25T08:00:00,826.3,854.9,767.1,816.7,173144657.620479
2025-07-25T12:00:00,816.4,818.4,765.5,766.9,45672864.565476
2025-07-25T16:00:00,766.1,777.7,750,759.1,19218115.039199
2025-07-25T20:00:00,759.2,796.3,754.6,787,26212870.85186
2025-07-26T00:00:00,787.2,788.8,736.3,748.6,35667592.052216
2025-07-26T04:00:00,748.9,752.9,737.4,739.2,10934928.645757
2025-07-26T08:00:00,739.3,754.2,739.2,749,8015845.909917
2025-07-26T12:00:00,749,768.1,738.7,755.3,11872061.19685
2025-07-26T16:00:00,755.3,757.5,739.4,748.7,3582899.770557
2025-07-26T20:00:00,747.3,764,745.8,755.6,4000137.408241
2025-07-27T00:00:00,755.6,757.2,739.8,751.2,10599114.357226
2025-07-27T04:00:00,751.2,759.9,745.3,746.5,6820406.634729
2025-07-27T08:00:00,746.5,760,745.7,755.7,5036555.496168
2025-07-27T12:00:00,757,758.7,743,747,4053326.393309
2025-07-27T16:00:00,747,784,747,774.5,4603101.690989
2025-07-27T20:00:00,774.5,783.9,756.3,766.7,3981619.200336
2025-07-28T00:00:00,766,766.4,746.2,748.3,5886131.06928
2025-07-28T04:00:00,748.7,752,715.6,718.6,13174976.412377
2025-07-28T08:00:00,718.6,730.4,718.2,724.9,5435290.866395
2025-07-28T12:00:00,724.9,726.9,700.1,710.8,9407695.704152
2025-07-28T16:00:00,710.8,711,687.7,693.9,3820106.987998
2025-07-28T20:00:00,693.9,700.4,682.8,687.4,6429810.861932
2025-07-29T00:00:00,687.4,733,683.5,690.9,26735660.906495
2025-07-29T04:00:00,690.9,709.8,690.7,709.3,4212120.56686
2025-07-29T08:00:00,709,709.5,670.3,673.3,7516369.128957
2025-07-29T12:00:00,673.3,688,633.7,640.5,8159636.479422
2025-07-29T16:00:00,641.7,661.2,639.6,653.1,1625132.450305
2025-07-29T20:00:00,653.1,665.5,646.7,658.1,1577421.576049
2025-07-30T00:00:00,658.7,658.7,634.2,637.7,4152308.505948
2025-07-30T04:00:00,637.7,640.3,614.7,619.7,6867920.224158
2025-07-30T08:00:00,619.7,620.7,600,600.5,6947246.609502
2025-07-30T12:00:00,602.1,628.5,598.7,626.9,4643885.355478
2025-07-30T16:00:00,625.5,626.9,603,622,981504.830917
2025-07-30T20:00:00,622,633,613,627,1600812.714166
2025-07-31T00:00:00,625,643.2,620,632,3212541.588852
2025-07-31T04:00:00,632,633,615,617,2195831.837944
2025-07-31T08:00:00,617,621,606,608,3068562.209181
2025-07-31T12:00:00,609,611,595,601,5911675.005681
2025-07-31T16:00:00,600,605,582,588,2903793.024033
2025-07-31T20:00:00,588,591,572,578,5023516.72872
