datetime,open,high,low,close,volume
2026-02-16T04:00:00,299600,303900,274000,275400,165290.199485
2026-02-16T08:00:00,275400,294400,272000,283200,114636.459591
2026-02-16T12:00:00,283500,288300,276300,277600,40392.15158
2026-02-16T16:00:00,277800,289400,277400,284600,9192.916601
2026-02-16T20:00:00,284600,301000,283200,294200,45094.499571
2026-02-17T00:00:00,293900,294800,283600,286600,33656.237204
2026-02-17T04:00:00,286600,295000,285500,286500,14187.619073
2026-02-17T08:00:00,286500,287300,278500,282100,17631.665517
2026-02-17T12:00:00,282100,294200,281300,294200,13500.019594
2026-02-17T16:00:00,294300,295300,286600,288100,7699.548071
2026-02-17T20:00:00,288100,288100,282300,284000,4063.346186
