datetime,open,high,low,close,volume
2025-05-08T08:00:00,2990,3860,2990,3712,16686825.893797
2025-05-08T12:00:00,3711,3767,3605,3731,4113107.906877
2025-05-08T16:00:00,3730,3909,3720,3810,4117228.581378
2025-05-08T20:00:00,3810,3917,3779,3840,2499628.527508
2025-05-09T00:00:00,3840,3907,3778,3805,2065333.156226
2025-05-09T04:00:00,3805,4039,3704,4002,1943953.243879
2025-05-09T08:00:00,4002,4124,3819,4110,1643659.775198
2025-05-09T12:00:00,4100,4161,3980,4013,721406.82073
2025-05-09T16:00:00,4016,4135,3951,4094,99710.238959
2025-05-09T20:00:00,4094,4333,4072,4260,665829.258301
