datetime,open,high,low,close,volume
2025-09-17T04:00:00,0.9,1.63,0.9,1.31,135619109896.197876
2025-09-17T08:00:00,1.31,1.41,1.14,1.36,66567742079.774353
2025-09-17T12:00:00,1.36,1.37,1.22,1.25,29964952427.201675
2025-09-17T16:00:00,1.24,1.29,1.19,1.27,12318281229.312077
2025-09-17T20:00:00,1.26,1.31,1.23,1.26,11634488201.437435
2025-09-18T00:00:00,1.26,1.35,1.21,1.34,19864775471.229561
2025-09-18T04:00:00,1.34,1.37,1.25,1.26,16862204356.533085
2025-09-18T08:00:00,1.27,1.28,1.19,1.22,10891801816.995609
2025-09-18T12:00:00,1.22,1.22,1.18,1.21,4905874215.149532
2025-09-18T16:00:00,1.21,1.23,1.2,1.2,1204830731.265468
2025-09-18T20:00:00,1.21,1.22,1.2,1.2,2204942712.123934
2025-09-19T00:00:00,1.2,1.22,1.14,1.16,5221499163.518028
2025-09-19T04:00:00,1.16,1.17,1.13,1.15,3033735740.342597
2025-09-19T08:00:00,1.15,1.18,1.14,1.17,1641246023.571151
2025-09-19T12:00:00,1.17,1.18,1.14,1.15,1591530738.982588
2025-09-19T16:00:00,1.15,1.16,1.12,1.13,638700450.319038
2025-09-19T20:00:00,1.13,1.15,1.12,1.15,966857968.367426
2025-09-20T00:00:00,1.14,1.15,1.1,1.12,2018019920.962498
2025-09-20T04:00:00,1.12,1.15,1.11,1.13,1103836807.289731
2025-09-20T08:00:00,1.14,1.18,1.12,1.17,1803341742.779573
2025-09-20T12:00:00,1.17,1.2,1.16,1.2,2378943237.796324
2025-09-20T16:00:00,1.2,1.22,1.16,1.19,1558329351.336596
2025-09-20T20:00:00,1.2,1.23,1.18,1.21,1773453416.212215
2025-09-21T00:00:00,1.21,1.21,1.17,1.18,2982230345.555519
2025-09-21T04:00:00,1.18,1.27,1.17,1.23,8133358986.446706
2025-09-21T08:00:00,1.23,1.25,1.15,1.16,5197140199.787416
2025-09-21T12:00:00,1.16,1.19,1.16,1.18,2656390166.533853
2025-09-21T16:00:00,1.18,1.18,1.15,1.17,1249684885.954018
2025-09-21T20:00:00,1.17,1.18,1.15,1.15,1992983415.450173
2025-09-22T00:00:00,1.15,1.17,1.09,1.11,4599276231.616267
2025-09-22T04:00:00,1.11,1.11,1.03,1.06,3519061421.264121
2025-09-22T08:00:00,1.06,1.07,1.03,1.03,2414270646.85079
2025-09-22T12:00:00,1.03,1.05,1.02,1.03,2982039968.866795
2025-09-22T16:00:00,1.03,1.04,1.01,1.03,1090913681.706825
2025-09-22T20:00:00,1.03,1.1,1.02,1.08,1187521397.893372
2025-09-23T00:00:00,1.07,1.07,1.01,1.04,2113828299.17292
2025-09-23T04:00:00,1.04,1.07,1.03,1.06,1530256212.915466
2025-09-23T08:00:00,1.05,1.08,1.04,1.06,889358200.755541
2025-09-23T12:00:00,1.06,1.23,1.06,1.17,6586627785.180846
2025-09-23T16:00:00,1.17,1.19,1.11,1.12,4691432624.497749
2025-09-23T20:00:00,1.12,1.16,1.11,1.13,1663477281.997694
2025-09-24T00:00:00,1.13,1.23,1.12,1.19,8054903762.196169
2025-09-24T04:00:00,1.19,1.29,1.19,1.22,11266990653.5693
2025-09-24T08:00:00,1.21,1.22,1.18,1.19,3902232161.307337
2025-09-24T12:00:00,1.19,1.2,1.17,1.18,1996032878.45777
2025-09-24T16:00:00,1.17,1.19,1.15,1.15,784797900.868439
2025-09-24T20:00:00,1.15,1.16,1.09,1.1,3150315779.082394
2025-09-25T00:00:00,1.11,1.11,1.07,1.08,3094751454.976661
2025-09-25T04:00:00,1.08,1.1,1.07,1.1,1150207930.592225
2025-09-25T08:00:00,1.09,1.12,1.06,1.06,1429357803.773914
2025-09-25T12:00:00,1.06,1.08,1.04,1.07,2209638905.985468
2025-09-25T16:00:00,1.06,1.08,1.04,1.06,1074292921.688327
2025-09-25T20:00:00,1.06,1.07,1.03,1.04,1055383424.538458
2025-09-26T00:00:00,1.04,1.08,1.04,1.05,1035258896.371802
2025-09-26T04:00:00,1.05,1.06,1.03,1.05,881389655.575234
2025-09-26T08:00:00,1.05,1.05,1,1.02,1327378928.611714
2025-09-26T12:00:00,1.01,1.02,0.986,1,2701622127.791947
2025-09-26T16:00:00,1.01,1.05,1,1.04,998989256.561997
2025-09-26T20:00:00,1.05,1.06,1.02,1.03,766032826.398171
2025-09-27T00:00:00,1.04,1.05,1.03,1.04,676788406.118896
2025-09-27T04:00:00,1.04,1.07,1.03,1.06,778061866.291503
2025-09-27T08:00:00,1.06,1.06,1.04,1.05,718894361.57492
2025-09-27T12:00:00,1.05,1.09,1.04,1.08,1501512862.383702
2025-09-27T16:00:00,1.08,1.12,1.05,1.06,1247692898.6718
2025-09-27T20:00:00,1.06,1.07,1.05,1.06,348829766.813166
2025-09-28T00:00:00,1.06,1.06,1.03,1.04,649319046.772279
2025-09-28T04:00:00,1.04,1.05,1.03,1.03,295690330.33948
2025-09-28T08:00:00,1.03,1.04,1.03,1.04,159545403.468868
2025-09-28T12:00:00,1.04,1.04,1.03,1.04,282543895.115678
2025-09-28T16:00:00,1.04,1.08,1.04,1.05,656869337.543662
2025-09-28T20:00:00,1.06,1.08,1.05,1.06,528688172.4451
