datetime,open,high,low,close,volume
2025-08-28T04:00:00,390,810,390,662,177881448.699365
2025-08-28T08:00:00,661,667,582,603,170133172.7042
2025-08-28T12:00:00,603,655,539,558,148808826.751529
2025-08-28T16:00:00,557,565,541,546,15620348.401608
2025-08-28T20:00:00,547,575,546,546,20660985.136048
2025-08-29T00:00:00,546,585,526,534,77413562.838075
2025-08-29T04:00:00,534,539,505,516,16940245.971434
2025-08-29T08:00:00,516,528,510,517,6868140.438207
2025-08-29T12:00:00,517,534,510,513,6521519.5672
2025-08-29T16:00:00,512,514,491,493,3140623.797176
2025-08-29T20:00:00,494,505,490,502,3189019.675869
2025-08-30T00:00:00,502,515,490,501,22207015.18852
2025-08-30T04:00:00,501,501,492,495,3191732.705997
2025-08-30T08:00:00,495,497,485,491,3923654.073101
2025-08-30T12:00:00,491,491,476,486,4006649.67585
2025-08-30T16:00:00,486,486,472,475,3108362.068948
2025-08-30T20:00:00,476,483,475,481,2166167.292543
2025-08-31T00:00:00,480,485,474,476,5512120.075115
2025-08-31T04:00:00,476,477,472,476,2080782.16859
2025-08-31T08:00:00,475,484,466,468,3381302.791037
2025-08-31T12:00:00,469,470,462,469,2164561.867801
2025-08-31T16:00:00,469,475,465,470,749234.283281
2025-08-31T20:00:00,470,472,463,466,1186494.593533
2025-09-01T00:00:00,466,491,451,452,29086914.988394
2025-09-01T04:00:00,452,454,438,451,7545351.868384
2025-09-01T08:00:00,451,459,443,446,5841907.147831
2025-09-01T12:00:00,446,449,438,439,4891671.885366
2025-09-01T16:00:00,440,440,432,434,1453004.983209
2025-09-01T20:00:00,435,437,418,430,6867813.996657
2025-09-02T00:00:00,430,449,430,446,16090992.474221
2025-09-02T04:00:00,445,447,432,433,2630228.380671
2025-09-02T08:00:00,434,441,433,438,1635385.104997
2025-09-02T12:00:00,437,443,422,426,2612256.960711
2025-09-02T16:00:00,428,436,424,428,650251.021589
2025-09-02T20:00:00,427,441,427,440,2013374.260405
2025-09-03T00:00:00,440,441,430,437,3142605.488609
2025-09-03T04:00:00,437,438,431,436,869392.768145
2025-09-03T08:00:00,436,441,433,439,691565.675619
2025-09-03T12:00:00,439,469,439,461,6774256.79493
2025-09-03T16:00:00,461,478,456,468,4783252.831331
2025-09-03T20:00:00,468,518,463,508,24988974.519898
2025-09-04T00:00:00,507,562,489,496,99151544.412907
2025-09-04T04:00:00,496,499,476,481,14557371.926081
2025-09-04T08:00:00,481,498,448,450,25649560.344701
2025-09-04T12:00:00,450,454,441,447,11060051.520094
2025-09-04T16:00:00,449,453,442,450,4469239.895928
2025-09-04T20:00:00,450,464,450,456,7919934.993375
2025-09-05T00:00:00,457,484,456,467,47786241.364083
2025-09-05T04:00:00,468,469,455,461,9633830.237806
2025-09-05T08:00:00,461,462,452,454,8936468.054792
2025-09-05T12:00:00,454,456,441,441,7514715.829232
2025-09-05T16:00:00,441,447,441,444,930989.995947
2025-09-05T20:00:00,444,448,441,447,2477920.168729
2025-09-06T00:00:00,447,458,442,443,14085386.170667
2025-09-06T04:00:00,444,450,443,446,1811915.885767
2025-09-06T08:00:00,445,457,445,453,3640057.214492
2025-09-06T12:00:00,453,464,450,453,5657861.142051
2025-09-06T16:00:00,453,456,444,447,2505870.358979
2025-09-06T20:00:00,447,453,446,449,1534428.036416
2025-09-07T00:00:00,449,463,449,458,12854138.936692
2025-09-07T04:00:00,458,477,457,477,9105185.086977
2025-09-07T08:00:00,477,478,460,470,14994486.321928
2025-09-07T12:00:00,470,484,464,472,16579275.810356
2025-09-07T16:00:00,472,484,470,478,5904730.150268
2025-09-07T20:00:00,479,485,474,481,4539348.788649
2025-09-08T00:00:00,482,492,468,473,12542702.806004
2025-09-08T04:00:00,474,474,463,465,4032630.255784
2025-09-08T08:00:00,464,473,463,466,2694384.771871
2025-09-08T12:00:00,466,470,461,466,3319674.276159
2025-09-08T16:00:00,466,470,456,459,2789726.054848
2025-09-08T20:00:00,459,464,455,463,2329806.921628
2025-09-09T00:00:00,463,464,448,452,7615948.315357
2025-09-09T04:00:00,451,464,451,460,3526096.020345
2025-09-09T08:00:00,460,461,451,454,3980881.971207
2025-09-09T12:00:00,455,458,445,449,4926646.100794
