datetime,open,high,low,close,volume
2025-02-13T08:00:00,20200,26470,20200,24500,8524630.171344
2025-02-13T12:00:00,24490,25420,24460,25080,1755222.885454
2025-02-13T16:00:00,25070,25140,24440,24940,387209.568968
2025-02-13T20:00:00,24940,25290,24410,24580,484967.404926
2025-02-14T00:00:00,24580,24740,23790,24640,776309.019732
2025-02-14T04:00:00,24640,26820,24510,25790,3974187.983675
2025-02-14T08:00:00,25790,30470,25450,29000,9988261.135075
2025-02-14T12:00:00,29030,32200,28530,31360,9586373.965224
2025-02-14T16:00:00,31360,36890,31360,33820,10773710.940939
2025-02-14T20:00:00,33820,34250,30250,32520,6652951.278775
2025-02-15T00:00:00,32520,33780,31000,32710,9329414.679789
2025-02-15T04:00:00,32760,33380,30880,31730,4920513.394968
2025-02-15T08:00:00,31720,32310,29250,29670,4881222.405278
2025-02-15T12:00:00,29680,30140,28800,29060,3518102.864174
2025-02-15T16:00:00,29060,29630,27660,27760,2047685.667366
2025-02-15T20:00:00,27760,28500,27330,28230,1523090.2674
2025-02-16T00:00:00,28220,29390,27580,27880,4504997.045216
2025-02-16T04:00:00,27880,29230,27750,27910,3361992.210365
2025-02-16T08:00:00,27910,29000,27680,28660,2847434.782621
2025-02-16T12:00:00,28680,29560,27900,28120,4566176.193112
2025-02-16T16:00:00,28120,28500,27540,28360,892426.3808
2025-02-16T20:00:00,28350,28930,28120,28360,874388.233911
2025-02-17T00:00:00,28340,29200,27850,28240,1934365.082251
2025-02-17T04:00:00,28220,28240,26010,26280,2622416.657786
2025-02-17T08:00:00,26260,27040,26190,26670,976994.848882
2025-02-17T12:00:00,26670,27220,26080,26270,867238.490365
2025-02-17T16:00:00,26270,26540,25500,26000,689412.513711
2025-02-17T20:00:00,26000,26180,25610,25870,480229.934982
2025-02-18T00:00:00,25880,26280,25470,25890,1245086.686206
2025-02-18T04:00:00,25890,25990,24210,25010,1415249.861901
2025-02-18T08:00:00,25000,25100,24460,24750,466381.805352
2025-02-18T12:00:00,24730,25260,24000,24250,755140.121962
2025-02-18T16:00:00,24210,24480,23610,24330,384461.891569
2025-02-18T20:00:00,24380,24780,24210,24610,230716.307434
2025-02-19T00:00:00,24610,24950,24330,24470,486243.905265
2025-02-19T04:00:00,24470,25660,24030,25400,747767.172643
2025-02-19T08:00:00,25400,25980,25080,25590,1464849.241222
2025-02-19T12:00:00,25560,25840,24960,25320,722007.264094
2025-02-19T16:00:00,25320,26010,25020,25180,409618.340187
2025-02-19T20:00:00,25200,25860,24670,25450,476512.010542
2025-02-20T00:00:00,25400,25570,24720,25170,592852.737538
2025-02-20T04:00:00,25160,25500,24840,24960,357320.920721
2025-02-20T08:00:00,24960,25680,24760,25630,397286.978705
2025-02-20T12:00:00,25630,25890,24740,24800,427915.251022
2025-02-20T16:00:00,24800,25140,24570,25030,146414.632148
2025-02-20T20:00:00,25030,25360,24670,25320,290073.887577
2025-02-21T00:00:00,25320,25450,24100,24300,563484.224812
2025-02-21T04:00:00,24300,24710,24290,24670,327332.586343
2025-02-21T08:00:00,24620,25320,24620,24890,363238.080587
2025-02-21T12:00:00,24890,25550,23920,24180,659920.335162
2025-02-21T16:00:00,24180,24450,23250,23590,499616.551318
2025-02-21T20:00:00,23570,23800,23410,23580,352126.430319
2025-02-22T00:00:00,23590,24220,23290,23690,520751.001501
2025-02-22T04:00:00,23700,23990,23600,23740,223130.755043
2025-02-22T08:00:00,23730,24230,23730,24100,194913.030947
2025-02-22T12:00:00,24060,24530,23890,24400,201963.111039
2025-02-22T16:00:00,24420,24690,24010,24080,120661.472571
2025-02-22T20:00:00,24080,24430,23950,24280,80442.090007
2025-02-23T00:00:00,24330,24440,23830,23910,227142.933908
2025-02-23T04:00:00,23910,24220,23800,24150,147318.341016
2025-02-23T08:00:00,24150,24150,23530,23630,166473.704415
2025-02-23T12:00:00,23630,23700,23300,23330,215452.942534
2025-02-23T16:00:00,23320,23570,23210,23540,54561.145886
2025-02-23T20:00:00,23550,23770,23350,23650,61849.86918
2025-02-24T00:00:00,23650,23890,22200,22400,456929.430192
2025-02-24T04:00:00,22430,22440,21710,22050,409915.156015
2025-02-24T08:00:00,22050,22300,21700,22170,258096.179765
2025-02-24T12:00:00,22150,22200,21340,21700,352611.370415
2025-02-24T16:00:00,21700,21910,21260,21480,140889.230606
2025-02-24T20:00:00,21480,21740,17640,18730,1508751.696192
2025-02-25T00:00:00,18730,20150,18310,19220,1929388.560816
2025-02-25T04:00:00,19230,19290,17860,18850,882284.730438
2025-02-25T08:00:00,18850,19270,18100,18920,966021.143979
2025-02-25T12:00:00,18930,19490,18550,19120,629760.662604
2025-02-25T16:00:00,19120,19670,19030,19520,183354.377455
2025-02-25T20:00:00,19530,19760,19310,19350,243772.619549
2025-02-26T00:00:00,19350,19400,18780,19040,346620.72742
2025-02-26T04:00:00,19040,19070,18610,18840,237852.423474
2025-02-26T08:00:00,18820,19110,18420,18690,214745.368682
2025-02-26T12:00:00,18670,19230,18240,19080,470259.615615
2025-02-26T16:00:00,19110,19200,18180,18530,197071.930578
2025-02-26T20:00:00,18520,19480,18300,19390,254682.321061
2025-02-27T00:00:00,19390,19870,19050,19400,373450.859878
2025-02-27T04:00:00,19440,19670,19200,19390,241255.021845
2025-02-27T08:00:00,19390,19490,19130,19250,279541.50845
2025-02-27T12:00:00,19260,19320,18660,18890,308220.96585
2025-02-27T16:00:00,18870,19000,18400,18520,185712.02433
2025-02-27T20:00:00,18520,18700,18140,18480,246343.896504
2025-02-28T00:00:00,18490,18560,16640,16720,1355282.696031
2025-02-28T04:00:00,16720,17020,16520,16810,518000.034389
2025-02-28T08:00:00,16800,17020,16510,16830,426083.782765
2025-02-28T12:00:00,16810,19120,16710,18410,1540036.2879
2025-02-28T16:00:00,18410,20020,18220,19500,887162.911279
2025-02-28T20:00:00,19480,19790,19030,19120,386507.508201
2025-03-01T00:00:00,19120,21620,18650,21040,3675771.726908
2025-03-01T04:00:00,21040,21330,19680,19730,2046912.311932
2025-03-01T08:00:00,19730,20610,19320,19680,1204031.172682
2025-03-01T12:00:00,19680,19990,19170,19540,655127.09956
2025-03-01T16:00:00,19530,19650,19000,19280,223812.3822
2025-03-01T20:00:00,19280,19820,19190,19600,365385.788148
2025-03-02T00:00:00,19610,20640,19550,20130,2319862.811037
2025-03-02T04:00:00,20130,20920,20000,20750,1622207.058467
2025-03-02T08:00:00,20750,21210,20380,20730,1651395.907746
2025-03-02T12:00:00,20740,22840,19990,21400,3552092.636585
2025-03-02T16:00:00,21430,24390,21120,24350,5182831.080751
2025-03-02T20:00:00,24330,26390,24110,25620,5622750.665364
2025-03-03T00:00:00,25610,25760,23000,23610,2296569.089145
2025-03-03T04:00:00,23650,24220,22290,22770,1465854.490619
2025-03-03T08:00:00,22760,22880,21980,22570,1183084.293461
2025-03-03T12:00:00,22570,23890,21940,22230,2141803.275089
2025-03-03T16:00:00,22250,22510,19000,19300,1529031.482782
2025-03-03T20:00:00,19300,19740,18620,19350,1286449.905414
2025-03-04T00:00:00,19350,19600,17600,18590,1573976.575907
2025-03-04T04:00:00,18610,19020,18320,18350,524646.869422
2025-03-04T08:00:00,18350,19080,18320,18770,528891.52431
2025-03-04T12:00:00,18770,19150,17920,18570,1042128.382569
2025-03-04T16:00:00,18560,19720,17710,19420,917176.465044
2025-03-04T20:00:00,19420,19770,18870,19410,596569.237751
2025-03-05T00:00:00,19410,20460,19010,19480,1299071.613884
2025-03-05T04:00:00,19480,19740,19240,19550,498472.821611
2025-03-05T08:00:00,19550,20490,19550,20050,863712.673938
2025-03-05T12:00:00,20050,20280,19010,19260,662512.244213
2025-03-05T16:00:00,19250,19810,19020,19620,251819.574218
2025-03-05T20:00:00,19610,19880,19550,19690,280540.45507
2025-03-06T00:00:00,19690,20140,19400,20100,533391.66144
2025-03-06T04:00:00,20100,20650,19940,20340,793357.910881
2025-03-06T08:00:00,20330,20500,20020,20180,571740.761323
2025-03-06T12:00:00,20180,20210,19520,19940,943462.838818
2025-03-06T16:00:00,19960,19990,19190,19290,307677.524259
2025-03-06T20:00:00,19270,19990,19220,19450,317570.024217
2025-03-07T00:00:00,19450,19910,18360,18670,1034833.973069
2025-03-07T04:00:00,18670,19140,18650,19030,279809.338475
2025-03-07T08:00:00,19030,19650,18910,19510,428639.726701
2025-03-07T12:00:00,19530,19800,19090,19440,604362.720822
2025-03-07T16:00:00,19410,19770,18450,19330,543773.703104
2025-03-07T20:00:00,19330,19640,18210,18440,559373.53412
2025-03-08T00:00:00,18440,18580,17990,18210,399818.597718
2025-03-08T04:00:00,18210,18400,18070,18280,152821.700064
2025-03-08T08:00:00,18270,18340,17660,17840,262973.004308
2025-03-08T12:00:00,17840,18070,17710,17920,203422.632381
2025-03-08T16:00:00,17920,18130,17520,18070,123022.342716
2025-03-08T20:00:00,18080,18100,17730,17930,93996.471266
2025-03-09T00:00:00,17930,18130,17830,18100,209559.891456
2025-03-09T04:00:00,18080,18090,17610,17800,200355.719441
2025-03-09T08:00:00,17800,17810,16990,17320,439794.547402
2025-03-09T12:00:00,17310,17340,16580,16710,603798.266314
2025-03-09T16:00:00,16710,16910,15720,16180,397497.002125
2025-03-09T20:00:00,16200,16430,15710,16060,367407.775478
2025-03-10T00:00:00,16060,16620,15830,16410,589428.683174
2025-03-10T04:00:00,16410,16660,16340,16550,176530.414953
2025-03-10T08:00:00,16580,17220,16290,17020,384519.226589
2025-03-10T12:00:00,17020,17120,16010,16320,539413.162415
