datetime,open,high,low,close,volume
2025-11-05T08:00:00,644,929,644,651,112321092.18997
2025-11-05T12:00:00,651,652,457,478,129910761.040103
2025-11-05T16:00:00,477,480,370,383,38111735.787876
2025-11-05T20:00:00,383,400,361,367,31879109.115127
2025-11-06T00:00:00,367,368,319,340,42575416.671114
2025-11-06T04:00:00,340,376,320,340,46948128.419271
2025-11-06T08:00:00,339,363,314,317,42724497.172701
2025-11-06T12:00:00,317,320,273,277,47759962.52297
2025-11-06T16:00:00,277,285,263,274,12997213.681616
2025-11-06T20:00:00,273,285,268,281,15090887.218107
2025-11-07T00:00:00,280,285,267,277,24645751.64443
2025-11-07T04:00:00,277,312,271,303,43776279.513987
2025-11-07T08:00:00,303,340,281,285,88868304.451193
2025-11-07T12:00:00,285,312,275,306,26941100.422296
2025-11-07T16:00:00,307,322,295,299,12521916.932259
2025-11-07T20:00:00,299,330,296,329,12102241.88549
2025-11-08T00:00:00,327,364,319,329,67642039.367591
2025-11-08T04:00:00,329,343,320,326,35098021.851908
2025-11-08T08:00:00,325,328,304,306,19282311.870963
2025-11-08T12:00:00,306,319,292,294,12438898.618815
2025-11-08T16:00:00,295,314,290,306,4857051.072588
2025-11-08T20:00:00,306,309,303,308,2985343.733268
2025-11-09T00:00:00,308,349,296,303,66735437.0765
2025-11-09T04:00:00,304,317,299,306,12300032.91254
2025-11-09T08:00:00,305,320,302,311,10028871.433318
2025-11-09T12:00:00,311,324,307,316,9689954.861012
2025-11-09T16:00:00,316,331,312,324,5417575.052863
2025-11-09T20:00:00,324,325,308,312,6988515.685049
2025-11-10T00:00:00,313,314,305,310,10690554.122023
2025-11-10T04:00:00,310,313,295,296,8556855.162413
2025-11-10T08:00:00,296,302,293,300,6962147.181746
2025-11-10T12:00:00,300,301,286,290,6678676.295718
2025-11-10T16:00:00,290,292,283,289,1961652.487758
2025-11-10T20:00:00,289,293,285,290,3733374.483426
2025-11-11T00:00:00,290,291,277,287,7157035.217397
2025-11-11T04:00:00,287,289,271,274,7274014.348933
2025-11-11T08:00:00,273,274,268,271,6181053.817676
2025-11-11T12:00:00,271,274,267,271,4893392.516009
2025-11-11T16:00:00,272,275,268,272,2405001.35593
2025-11-11T20:00:00,272,272,259,261,4542052.144526
2025-11-12T00:00:00,261,261,247,253,9636760.079965
2025-11-12T04:00:00,253,255,249,252,4904434.012851
2025-11-12T08:00:00,252,260,252,255,5312047.902355
2025-11-12T12:00:00,255,261,253,256,4973075.114474
2025-11-12T16:00:00,256,261,248,252,4018747.498362
2025-11-12T20:00:00,251,255,247,250,3603810.663147
2025-11-13T00:00:00,249,261,245,248,15140472.762119
2025-11-13T04:00:00,248,249,242,245,4888605.10224
2025-11-13T08:00:00,245,249,244,246,3471613.196446
2025-11-13T12:00:00,245,248,240,243,5083550.28354
2025-11-13T16:00:00,243,244,215,217,9092110.661819
2025-11-13T20:00:00,217,228,213,226,6157137.890984
2025-11-14T00:00:00,226,228,213,215,7217595.846331
2025-11-14T04:00:00,215,215,201,208,15194336.600685
2025-11-14T08:00:00,208,214,205,207,5584595.274812
2025-11-14T12:00:00,207,214,204,212,6355259.020614
2025-11-14T16:00:00,213,216,208,214,3032508.514855
