datetime,open,high,low,close,volume
2024-10-22T04:00:00,9560,11820,9560,11150,2653950.26848
2024-10-22T08:00:00,11160,11300,10930,11150,1001544.781194
2024-10-22T12:00:00,11140,11240,10930,11050,396427.016103
2024-10-22T16:00:00,11050,11110,10850,11090,158819.830843
2024-10-22T20:00:00,11060,11150,11000,11030,146399.272855
2024-10-23T00:00:00,11020,11060,10730,10770,212770.182051
2024-10-23T04:00:00,10770,10800,10670,10740,87211.065624
2024-10-23T08:00:00,10740,10760,10600,10640,87222.9975
2024-10-23T12:00:00,10620,10800,10600,10620,43787.56875
2024-10-23T16:00:00,10670,10710,10410,10650,24671.222778
2024-10-23T20:00:00,10650,10910,10630,10880,34839.259539
2024-10-24T00:00:00,10880,11260,10820,11080,183643.416741
2024-10-24T04:00:00,11080,11190,11020,11070,84581.614843
2024-10-24T08:00:00,11070,11280,11000,11200,194447.845707
2024-10-24T12:00:00,11190,11340,11060,11060,87770.049559
2024-10-24T16:00:00,11060,11150,10950,11070,24337.575655
2024-10-24T20:00:00,11060,11120,11000,11070,33941.576294
2024-10-25T00:00:00,11100,11360,11070,11160,348763.342011
2024-10-25T04:00:00,11160,11180,10910,10920,109169.309605
2024-10-25T08:00:00,10930,11160,10770,11150,58055.461563
2024-10-25T12:00:00,11150,11260,11030,11150,44487.838501
2024-10-25T16:00:00,11160,11350,10820,10950,48810.550927
2024-10-25T20:00:00,11070,11120,10120,10460,135154.424426
2024-10-26T00:00:00,10450,10900,10270,10830,130097.81113
2024-10-26T04:00:00,10830,10850,10510,10590,39356.568015
2024-10-26T08:00:00,10560,10710,10540,10580,28613.763576
2024-10-26T12:00:00,10580,10600,10240,10270,27008.169509
2024-10-26T16:00:00,10250,10440,10240,10400,8752.970455
2024-10-26T20:00:00,10370,10480,10330,10400,11101.801007
2024-10-27T00:00:00,10400,10710,10340,10710,21548.79187
2024-10-27T04:00:00,10710,10950,10550,10660,83919.604523
2024-10-27T08:00:00,10630,10660,10400,10430,21228.265258
2024-10-27T12:00:00,10430,10500,10300,10440,23758.431308
2024-10-27T16:00:00,10490,10580,10460,10520,3398.704492
2024-10-27T20:00:00,10590,10620,10440,10510,10410.80839
2024-10-28T00:00:00,10520,10770,10270,10330,258802.256358
2024-10-28T04:00:00,10300,10500,10190,10480,40997.363849
2024-10-28T08:00:00,10450,10520,10320,10460,23334.574857
2024-10-28T12:00:00,10460,10580,10410,10470,18172.14614
2024-10-28T16:00:00,10460,10630,10330,10580,9434.680938
2024-10-28T20:00:00,10630,10860,10610,10840,33714.467497
2024-10-29T00:00:00,10840,11100,10800,11010,47829.513757
2024-10-29T04:00:00,11010,11070,10900,10980,26215.342358
2024-10-29T08:00:00,11020,11080,10970,10980,26007.061697
2024-10-29T12:00:00,10980,11030,10810,10920,29119.149087
2024-10-29T16:00:00,10920,11090,10900,11010,25447.358599
2024-10-29T20:00:00,10990,11150,10880,11040,36568.498386
2024-10-30T00:00:00,11070,11100,10870,11020,49490.632625
2024-10-30T04:00:00,11010,11230,10970,11150,19961.258165
2024-10-30T08:00:00,11150,11310,11030,11120,94011.897893
2024-10-30T12:00:00,11130,11430,11010,11330,91551.843295
2024-10-30T16:00:00,11370,11530,11260,11390,33285.552897
2024-10-30T20:00:00,11370,11540,11290,11310,54802.650588
2024-10-31T00:00:00,11310,11400,11110,11130,37929.220746
2024-10-31T04:00:00,11120,11130,11020,11100,22128.920534
2024-10-31T08:00:00,11090,11090,10890,10920,19112.700949
2024-10-31T12:00:00,10920,10990,10700,10810,39644.264
2024-10-31T16:00:00,10730,10810,10470,10480,38497.397251
2024-10-31T20:00:00,10480,10700,10470,10620,19417.941224
2024-11-01T00:00:00,10660,10940,10500,10730,41904.617678
2024-11-01T04:00:00,10740,10890,10680,10750,29321.217569
2024-11-01T08:00:00,10750,10950,10750,10860,32659.852619
2024-11-01T12:00:00,10850,11200,10780,10920,76553.485154
2024-11-01T16:00:00,10920,11060,10600,10610,12263.040788
2024-11-01T20:00:00,10650,10710,10530,10590,15908.925376
2024-11-02T00:00:00,10570,10880,10530,10600,19101.061555
2024-11-02T04:00:00,10600,10650,10470,10470,9377.914518
2024-11-02T08:00:00,10520,10520,10360,10410,13878.095382
2024-11-02T12:00:00,10400,10420,10250,10280,18060.943082
2024-11-02T16:00:00,10280,10430,10270,10390,7754.909725
2024-11-02T20:00:00,10410,10410,10280,10350,3594.346804
2024-11-03T00:00:00,10350,10420,9978,10110,30642.327494
2024-11-03T04:00:00,10100,10160,10000,10030,14982.93919
2024-11-03T08:00:00,10020,10070,9934,9934,11919.343201
2024-11-03T12:00:00,9951,10030,9531,9720,25891.404279
2024-11-03T16:00:00,9750,9818,9564,9742,6501.095906
2024-11-03T20:00:00,9754,9952,9740,9830,8061.824565
2024-11-04T00:00:00,9830,9900,9656,9800,10555.331942
2024-11-04T04:00:00,9797,9831,9541,9541,5932.666979
2024-11-04T08:00:00,9578,9691,9529,9640,9863.912894
2024-11-04T12:00:00,9640,9719,9536,9565,10322.492214
2024-11-04T16:00:00,9552,9552,9415,9515,4874.491431
2024-11-04T20:00:00,9542,9578,9223,9452,14795.184601
2024-11-05T00:00:00,9442,9581,9421,9541,6738.042595
2024-11-05T04:00:00,9549,9695,9536,9675,10915.754761
2024-11-05T08:00:00,9674,9713,9628,9700,2628.107592
2024-11-05T12:00:00,9713,10050,9711,9850,14637.130413
2024-11-05T16:00:00,9869,10120,9750,9750,8650.670486
2024-11-05T20:00:00,9734,10030,9734,9988,6299.035645
2024-11-06T00:00:00,9992,11380,9992,11380,130088.712841
2024-11-06T04:00:00,11390,14690,11300,12110,4297775.659935
2024-11-06T08:00:00,12110,12730,11680,12500,1161335.194569
2024-11-06T12:00:00,12500,13000,12420,12800,769993.936752
2024-11-06T16:00:00,12810,12930,12570,12750,255311.181887
2024-11-06T20:00:00,12760,13320,12620,12790,436650.488156
2024-11-07T00:00:00,12790,13180,12640,12710,968569.835798
2024-11-07T04:00:00,12710,12760,12110,12280,280189.838808
2024-11-07T08:00:00,12280,12410,12220,12360,93818.955817
2024-11-07T12:00:00,12320,12750,12270,12480,87985.93567
2024-11-07T16:00:00,12480,12610,12330,12440,33703.679823
2024-11-07T20:00:00,12450,12500,12140,12230,121931.247262
2024-11-08T00:00:00,12230,12430,12160,12270,204977.098509
2024-11-08T04:00:00,12270,12370,12000,12050,87277.615112
2024-11-08T08:00:00,12070,12160,11950,12160,64023.289365
2024-11-08T12:00:00,12120,12540,12020,12230,83471.746403
2024-11-08T16:00:00,12220,12220,11900,12140,59263.96473
2024-11-08T20:00:00,12120,12370,12050,12370,41293.969628
2024-11-09T00:00:00,12380,12440,12110,12130,93898.121553
2024-11-09T04:00:00,12130,13000,12130,12590,467897.95403
2024-11-09T08:00:00,12590,12780,12450,12650,173983.24113
2024-11-09T12:00:00,12650,12690,12370,12480,86312.456667
2024-11-09T16:00:00,12490,12780,12300,12660,43082.159376
2024-11-09T20:00:00,12670,12950,12500,12800,99931.817214
2024-11-10T00:00:00,12820,13000,12560,12790,229044.414902
2024-11-10T04:00:00,12790,13220,12750,12800,217979.331685
2024-11-10T08:00:00,12800,12930,12640,12920,181498.783204
2024-11-10T12:00:00,12880,13270,12700,12960,280875.262211
2024-11-10T16:00:00,12960,13050,12530,12640,104136.555879
2024-11-10T20:00:00,12690,12910,12040,12780,131910.616221
2024-11-11T00:00:00,12780,13110,12710,13050,190778.157626
2024-11-11T04:00:00,13050,13070,12160,12530,189627.447619
2024-11-11T08:00:00,12520,12690,12410,12660,99502.826778
2024-11-11T12:00:00,12670,12800,12330,12620,156462.466825
2024-11-11T16:00:00,12620,12890,12620,12710,84550.901584
2024-11-11T20:00:00,12700,13140,12430,13090,214148.65722
2024-11-12T00:00:00,13110,19220,12250,13960,6543271.373351
2024-11-12T04:00:00,13960,14030,13400,13790,1698052.037803
2024-11-12T08:00:00,13790,14030,12350,13060,1215234.828627
2024-11-12T12:00:00,13060,13240,12360,12590,599520.146487
2024-11-12T16:00:00,12600,12750,12270,12670,104781.675494
2024-11-12T20:00:00,12680,13000,12500,12770,198718.377901
2024-11-13T00:00:00,12820,13000,12190,12190,449381.425129
2024-11-13T04:00:00,12200,12430,11780,12100,235903.289039
2024-11-13T08:00:00,12100,12210,11850,12050,92543.269909
2024-11-13T12:00:00,12050,14380,11890,12710,1355099.723388
2024-11-13T16:00:00,12710,12780,11950,12020,200864.219285
2024-11-13T20:00:00,12020,12300,11850,12220,116663.258539
2024-11-14T00:00:00,12220,12350,11980,12200,184744.520977
2024-11-14T04:00:00,12220,12550,12170,12410,93408.40614
2024-11-14T08:00:00,12440,12490,11930,12070,124246.033245
2024-11-14T12:00:00,12070,12130,11620,11810,131011.34845
2024-11-14T16:00:00,11810,12270,11730,12100,39908.278185
2024-11-14T20:00:00,12080,12090,11340,11550,155934.686421
2024-11-15T00:00:00,11600,11810,11410,11590,96626.176815
2024-11-15T04:00:00,11590,11590,11190,11470,97421.728314
2024-11-15T08:00:00,11480,11850,11340,11790,71103.135343
2024-11-15T12:00:00,11760,11850,11290,11390,151840.027575
2024-11-15T16:00:00,11390,11780,11330,11690,40415.9881
2024-11-15T20:00:00,11730,12100,11710,12030,62151.006897
2024-11-16T00:00:00,12060,12600,11970,12400,206625.904886
2024-11-16T04:00:00,12430,12560,12220,12380,476323.174073
2024-11-16T08:00:00,12380,12770,12290,12740,283895.338628
2024-11-16T12:00:00,12740,12940,12250,12480,499152.508117
2024-11-16T16:00:00,12490,12890,12480,12760,80688.594353
2024-11-16T20:00:00,12760,12910,12640,12770,107998.392921
2024-11-17T00:00:00,12750,13290,12090,12450,915149.851972
2024-11-17T04:00:00,12470,12790,12410,12690,125299.104135
2024-11-17T08:00:00,12680,12760,12410,12420,118259.642395
2024-11-17T12:00:00,12450,12580,12330,12460,68344.094795
2024-11-17T16:00:00,12470,12560,12270,12410,42579.580017
2024-11-17T20:00:00,12400,12480,12100,12340,56554.732558
2024-11-18T00:00:00,12340,13000,12300,12670,187053.302989
2024-11-18T04:00:00,12660,12920,12550,12860,149663.929501
2024-11-18T08:00:00,12860,13120,12550,12620,175044.068263
2024-11-18T12:00:00,12620,12950,12400,12840,164388.664999
2024-11-18T16:00:00,12840,13090,12440,12700,114420.073534
2024-11-18T20:00:00,12700,13060,12620,12990,88739.256956
2024-11-19T00:00:00,12990,13190,12700,12820,185927.417908
2024-11-19T04:00:00,12820,13060,12750,12830,113956.962309
2024-11-19T08:00:00,12830,13550,12780,13300,569815.189023
2024-11-19T12:00:00,13300,13480,12770,13180,317961.262579
2024-11-19T16:00:00,13180,13280,13090,13100,55717.483481
2024-11-19T20:00:00,13100,13240,12920,13240,101088.966997
2024-11-20T00:00:00,13200,13230,12420,12630,262632.645293
2024-11-20T04:00:00,12640,13020,12570,12740,88188.201962
2024-11-20T08:00:00,12750,12900,12530,12660,99342.932993
2024-11-20T12:00:00,12660,12890,12490,12650,124831.400395
2024-11-20T16:00:00,12640,12670,12140,12280,71271.290984
2024-11-20T20:00:00,12250,12540,12170,12470,43472.146379
2024-11-21T00:00:00,12470,12750,12050,12140,115288.982889
2024-11-21T04:00:00,12170,12530,12140,12490,88739.897654
2024-11-21T08:00:00,12490,12540,12180,12440,91785.89401
2024-11-21T12:00:00,12410,13240,12410,12860,296261.21423
2024-11-21T16:00:00,12860,13520,12650,12690,198297.726513
2024-11-21T20:00:00,12740,13010,12630,12890,63988.506651
2024-11-22T00:00:00,12900,13200,12800,13000,135679.946948
2024-11-22T04:00:00,13060,13280,12900,13000,163091.803735
2024-11-22T08:00:00,13010,13330,12880,13230,133217.661011
2024-11-22T12:00:00,13230,13590,12400,13200,377165.304805
2024-11-22T16:00:00,13190,13240,12820,12940,49650.383739
2024-11-22T20:00:00,12950,13800,12900,13740,108421.574156
2024-11-23T00:00:00,13740,14380,13440,14010,328673.497473
2024-11-23T04:00:00,14040,14550,13710,14470,190705.328105
2024-11-23T08:00:00,14470,14750,14300,14480,259347.31257
2024-11-23T12:00:00,14480,15570,14370,15460,286003.398227
2024-11-23T16:00:00,15420,15610,14680,15120,231794.320645
2024-11-23T20:00:00,15100,15140,14710,14980,84562.964615
2024-11-24T00:00:00,14980,15440,14800,15250,186537.039003
2024-11-24T04:00:00,15250,15810,14920,15390,246782.656926
2024-11-24T08:00:00,15390,15550,14510,14560,365657.370536
2024-11-24T12:00:00,14570,14820,13750,14000,257000.820766
2024-11-24T16:00:00,14010,14570,13970,14440,68265.236775
2024-11-24T20:00:00,14430,15290,14410,15130,125335.125399
2024-11-25T00:00:00,15150,15190,14450,15010,162693.442587
2024-11-25T04:00:00,15010,18000,14960,15810,1807655.752587
2024-11-25T08:00:00,15810,16500,15550,16270,779818.743169
2024-11-25T12:00:00,16250,17200,15860,17060,882958.708558
2024-11-25T16:00:00,17060,17260,15830,15930,242625.473223
2024-11-25T20:00:00,15920,16170,15270,15520,426167.069882
2024-11-26T00:00:00,15520,16380,15300,15880,374452.092943
2024-11-26T04:00:00,15880,16530,15810,15840,455711.624282
2024-11-26T08:00:00,15870,15870,14610,14920,477723.938377
2024-11-26T12:00:00,14920,15850,14710,15030,379432.617216
2024-11-26T16:00:00,15030,15450,14710,14920,58694.892941
2024-11-26T20:00:00,14920,15380,14920,15240,87269.270384
