datetime,open,high,low,close,volume
2024-06-07T08:00:00,1289,1391,1289,1387,38389853.798668
2024-06-07T12:00:00,1388,1394,1385,1392,9583814.411398
2024-06-07T16:00:00,1390,1427,1390,1411,22017829.766872
2024-06-07T20:00:00,1411,1415,1406,1412,6713714.696855
2024-06-08T00:00:00,1412,1413,1406,1411,7854780.740578
2024-06-08T04:00:00,1411,1412,1407,1407,3096223.595118
2024-06-08T08:00:00,1408,1413,1407,1412,2856803.926762
2024-06-08T12:00:00,1412,1417,1408,1411,5603870.472433
2024-06-08T16:00:00,1411,1416,1408,1412,1834633.254692
2024-06-08T20:00:00,1412,1418,1410,1416,2327097.276442
2024-06-09T00:00:00,1416,1419,1411,1412,3977005.409008
2024-06-09T04:00:00,1412,1415,1409,1410,2468822.800117
2024-06-09T08:00:00,1410,1411,1408,1408,2367221.648527
2024-06-09T12:00:00,1409,1418,1408,1410,3137178.630181
2024-06-09T16:00:00,1410,1411,1406,1407,646269.857626
2024-06-09T20:00:00,1407,1409,1405,1406,999819.891073
2024-06-10T00:00:00,1406,1408,1402,1404,2022898.053763
2024-06-10T04:00:00,1404,1405,1399,1400,2416311.772687
2024-06-10T08:00:00,1400,1402,1397,1400,1839720.567316
2024-06-10T12:00:00,1400,1401,1396,1397,2598165.409965
2024-06-10T16:00:00,1397,1400,1395,1400,1105539.370041
2024-06-10T20:00:00,1400,1402,1397,1399,1247499.364835
2024-06-11T00:00:00,1399,1406,1397,1403,5312183.337994
2024-06-11T04:00:00,1403,1407,1400,1405,6311526.025222
2024-06-11T08:00:00,1405,1407,1400,1406,5846477.303404
2024-06-11T12:00:00,1406,1419,1405,1417,8586239.1202
2024-06-11T16:00:00,1417,1418,1411,1414,3583894.576613
2024-06-11T20:00:00,1414,1419,1407,1416,3425729.932887
2024-06-12T00:00:00,1417,1418,1407,1409,4553065.540435
2024-06-12T04:00:00,1409,1414,1406,1408,5216801.451099
2024-06-12T08:00:00,1408,1413,1406,1411,6969900.135353
2024-06-12T12:00:00,1413,1414,1401,1402,6258750.376222
2024-06-12T16:00:00,1402,1409,1401,1409,2651253.062665
2024-06-12T20:00:00,1409,1410,1404,1405,2185940.052341
2024-06-13T00:00:00,1405,1414,1404,1413,5281437.948816
2024-06-13T04:00:00,1412,1413,1405,1408,5859536.986481
2024-06-13T08:00:00,1408,1411,1406,1409,5799024.79889
2024-06-13T12:00:00,1409,1418,1407,1418,6891428.224022
2024-06-13T16:00:00,1418,1419,1411,1416,2394962.232671
2024-06-13T20:00:00,1416,1420,1415,1416,3139396.471307
2024-06-14T00:00:00,1418,1420,1412,1416,5716617.148942
2024-06-14T04:00:00,1416,1417,1411,1415,7237601.608386
2024-06-14T08:00:00,1415,1418,1412,1415,7916758.023427
2024-06-14T12:00:00,1415,1420,1413,1419,4253067.323088
2024-06-14T16:00:00,1419,1434,1418,1425,9528132.65528
2024-06-14T20:00:00,1425,1426,1420,1423,2788425.491215
2024-06-15T00:00:00,1423,1424,1416,1418,2217900.604358
2024-06-15T04:00:00,1418,1419,1416,1418,2283996.935305
2024-06-15T08:00:00,1417,1418,1414,1416,2620391.789211
2024-06-15T12:00:00,1416,1416,1414,1416,1863852.647815
2024-06-15T16:00:00,1416,1419,1415,1418,734090.842492
2024-06-15T20:00:00,1416,1419,1416,1418,769915.824209
2024-06-16T00:00:00,1417,1419,1416,1418,1376853.613123
2024-06-16T04:00:00,1418,1419,1415,1416,1522778.19793
2024-06-16T08:00:00,1416,1417,1415,1416,1384611.877832
2024-06-16T12:00:00,1416,1417,1414,1414,2163020.659962
2024-06-16T16:00:00,1416,1417,1414,1415,720625.865873
2024-06-16T20:00:00,1416,1416,1412,1413,999236.754382
2024-06-17T00:00:00,1413,1414,1404,1405,4065154.64246
2024-06-17T04:00:00,1406,1409,1403,1406,5012335.372144
2024-06-17T08:00:00,1406,1407,1403,1406,5583089.804082
2024-06-17T12:00:00,1405,1409,1403,1408,3376177.706065
2024-06-17T16:00:00,1408,1410,1403,1405,1571004.294766
2024-06-17T20:00:00,1404,1410,1404,1408,1761867.349365
2024-06-18T00:00:00,1408,1420,1402,1409,11891451.650479
2024-06-18T04:00:00,1409,1411,1406,1411,6472985.202731
2024-06-18T08:00:00,1411,1412,1406,1410,5418487.614321
2024-06-18T12:00:00,1410,1414,1408,1413,5034439.221489
2024-06-18T16:00:00,1413,1415,1410,1412,1344766.260344
2024-06-18T20:00:00,1412,1415,1407,1408,790974.831892
2024-06-19T00:00:00,1407,1414,1406,1412,5742172.879774
2024-06-19T04:00:00,1412,1413,1408,1408,3450631.114899
2024-06-19T08:00:00,1408,1411,1407,1409,4345972.363555
2024-06-19T12:00:00,1409,1411,1408,1411,2332935.501091
2024-06-19T16:00:00,1411,1411,1408,1409,737048.464682
2024-06-19T20:00:00,1410,1412,1408,1411,1072220.673931
2024-06-20T00:00:00,1411,1413,1409,1411,4552848.08013
2024-06-20T04:00:00,1410,1411,1406,1409,5772101.417192
2024-06-20T08:00:00,1408,1411,1407,1409,4374862.45776
2024-06-20T12:00:00,1409,1417,1408,1415,10035234.90967
2024-06-20T16:00:00,1415,1417,1410,1412,2915029.945804
2024-06-20T20:00:00,1412,1416,1411,1416,2357043.408724
2024-06-21T00:00:00,1416,1418,1413,1414,5012696.241937
2024-06-21T04:00:00,1415,1415,1408,1412,6702522.922277
2024-06-21T08:00:00,1412,1414,1409,1410,4896394.172035
2024-06-21T12:00:00,1410,1413,1408,1413,3124958.03786
2024-06-21T16:00:00,1413,1415,1410,1411,1404512.831486
2024-06-21T20:00:00,1412,1412,1409,1409,543161.956967
2024-06-22T00:00:00,1410,1412,1409,1412,1427116.764311
2024-06-22T04:00:00,1412,1414,1409,1413,2262532.350324
2024-06-22T08:00:00,1413,1414,1411,1413,1734528.642249
2024-06-22T12:00:00,1413,1414,1411,1413,1092425.439259
2024-06-22T16:00:00,1413,1415,1412,1412,742872.486756
2024-06-22T20:00:00,1412,1415,1412,1415,666870.441041
2024-06-23T00:00:00,1415,1415,1411,1413,970099.170494
2024-06-23T04:00:00,1413,1413,1411,1413,734787.177066
2024-06-23T08:00:00,1412,1413,1411,1412,1043540.474131
2024-06-23T12:00:00,1412,1413,1410,1411,1651042.037211
2024-06-23T16:00:00,1412,1414,1410,1414,1108322.419418
2024-06-23T20:00:00,1414,1416,1410,1410,1829124.461699
2024-06-24T00:00:00,1410,1414,1410,1411,3468446.019173
2024-06-24T04:00:00,1410,1411,1406,1409,3387206.731767
2024-06-24T08:00:00,1409,1414,1407,1412,5659029.023402
2024-06-24T12:00:00,1412,1414,1408,1411,2978495.839867
2024-06-24T16:00:00,1411,1417,1409,1417,5073171.270178
2024-06-24T20:00:00,1415,1418,1412,1415,4419018.304519
2024-06-25T00:00:00,1417,1418,1410,1413,3992445.467288
2024-06-25T04:00:00,1413,1415,1409,1410,3650839.294036
2024-06-25T08:00:00,1410,1413,1409,1411,3046983.836584
2024-06-25T12:00:00,1411,1412,1409,1411,2552781.935721
2024-06-25T16:00:00,1411,1413,1409,1412,1574334.886275
2024-06-25T20:00:00,1411,1415,1410,1414,3447717.171508
2024-06-26T00:00:00,1414,1414,1411,1412,6846635.63662
2024-06-26T04:00:00,1412,1413,1408,1410,3872849.190062
2024-06-26T08:00:00,1410,1411,1408,1410,2898069.937468
2024-06-26T12:00:00,1410,1416,1409,1413,5991789.496211
2024-06-26T16:00:00,1414,1416,1411,1413,4555060.672189
