datetime,open,high,low,close,volume
2024-09-03T12:00:00,200,499,200,288.2,405273826.58899
2024-09-03T16:00:00,288.3,290.8,268.7,279.3,55611941.578328
2024-09-03T20:00:00,279.3,314,278.4,305.2,83140817.798526
2024-09-04T00:00:00,305.4,313.8,274.9,295.2,124408201.747816
2024-09-04T04:00:00,295.2,301,281.5,283.7,46753443.87852
2024-09-04T08:00:00,283.7,283.7,271.1,278.6,50277469.180829
2024-09-04T12:00:00,278.6,287.9,273.1,285.6,20674207.655216
2024-09-04T16:00:00,285.7,286,275,279.9,10059338.667765
2024-09-04T20:00:00,279.8,285,276.7,282.1,9947999.290386
2024-09-05T00:00:00,282.4,289.3,268.5,270.9,39240949.82363
2024-09-05T04:00:00,271.1,282.8,265.3,281.3,23412488.720799
2024-09-05T08:00:00,281.3,281.7,268.8,271.2,23816346.104605
2024-09-05T12:00:00,271.2,272.9,267.1,270.7,7525306.793343
2024-09-05T16:00:00,271.8,278.2,270.7,274.8,2842186.491682
2024-09-05T20:00:00,274.8,277.8,268.8,273,3749480.804685
2024-09-06T00:00:00,273,278.5,265.9,267.7,16187615.699459
2024-09-06T04:00:00,268,268.7,251.3,254.6,21249875.750281
2024-09-06T08:00:00,254.6,257.2,250.4,251.2,12512195.711384
2024-09-06T12:00:00,251.6,255.4,245,251.6,18955148.59636
2024-09-06T16:00:00,251.8,252.8,248.4,251.1,2807444.522893
2024-09-06T20:00:00,251.1,253.8,242.2,252.3,4522820.951246
2024-09-07T00:00:00,252.3,252.3,242,244.3,10507282.129439
2024-09-07T04:00:00,244.3,253,243.1,252.8,5720987.207514
2024-09-07T08:00:00,252.7,270,250.3,261.3,40357714.395313
2024-09-07T12:00:00,261.3,268.8,260.3,262.2,11362638.655378
2024-09-07T16:00:00,262.2,263.3,251.1,252.1,5145239.11261
2024-09-07T20:00:00,252.5,255.1,247,252,6675851.577677
2024-09-08T00:00:00,252.7,265.8,248,263.2,30607334.634422
2024-09-08T04:00:00,263.2,264,255.6,259.1,11738186.700078
2024-09-08T08:00:00,259.1,260.8,255.5,256.6,8321330.954379
2024-09-08T12:00:00,256.5,257.2,251.1,253.3,6967881.176598
2024-09-08T16:00:00,253.3,255.6,252.2,254.5,1260864.937848
2024-09-08T20:00:00,254.5,257.6,253.6,256.5,2585553.360948
2024-09-09T00:00:00,256.5,261.1,252,253.2,10648798.67741
2024-09-09T04:00:00,253.4,255.1,248.9,252.4,4468698.077417
2024-09-09T08:00:00,252.4,258,252.1,257.2,5749802.496913
2024-09-09T12:00:00,257.2,260.8,252.5,254.6,5389961.257752
2024-09-09T16:00:00,254.6,259.9,254.6,259.6,2455355.19246
2024-09-09T20:00:00,259.6,263.7,259.1,263,4651278.708669
2024-09-10T00:00:00,263,274.8,260.3,274.3,14845243.093857
2024-09-10T04:00:00,274,293.2,271.8,293.1,99533192.828101
2024-09-10T08:00:00,293.1,293.3,276.6,280.2,77057332.277942
2024-09-10T12:00:00,280.2,281,272.5,273.7,19194802.798204
2024-09-10T16:00:00,273.7,278,271.1,277.9,5172098.26186
2024-09-10T20:00:00,277.9,279.6,276.2,278.3,7517170.352663
2024-09-11T00:00:00,278.3,296.4,273,294.2,68214003.153914
2024-09-11T04:00:00,294.8,313.2,284.4,308.4,76073574.488935
2024-09-11T08:00:00,308.4,315.5,303,311.3,49202717.321312
2024-09-11T12:00:00,311.2,325,306,321.3,57510102.028645
2024-09-11T16:00:00,321.3,326.8,316.9,324.1,17155588.118169
2024-09-11T20:00:00,324.1,324.5,313.9,317.1,18480124.264749
2024-09-12T00:00:00,317.1,408.8,316.2,400.2,222457060.299536
2024-09-12T04:00:00,400,403.3,375.6,400.4,120805455.774133
2024-09-12T08:00:00,400.3,417.9,381.4,417.6,81881292.796618
2024-09-12T12:00:00,418,418.8,368.8,374.7,210889845.653031
2024-09-12T16:00:00,374.7,378.2,356.8,374,45127479.326272
2024-09-12T20:00:00,374,385.4,370.6,376.7,40442992.685137
2024-09-13T00:00:00,377,406.5,360.2,391.7,177067661.030866
2024-09-13T04:00:00,391.5,395,371.9,379.2,58972063.187412
2024-09-13T08:00:00,379.3,389.6,351.1,354.3,91709943.68248
2024-09-13T12:00:00,353.2,359.4,341.2,348.9,40400885.523034
2024-09-13T16:00:00,348.4,370,346.6,365.4,17890422.81729
2024-09-13T20:00:00,365.4,374.3,356,369,20756480.709371
2024-09-14T00:00:00,369,453.3,369,445.8,257416311.644166
2024-09-14T04:00:00,446.4,448.4,419,433.6,89358697.794549
2024-09-14T08:00:00,433.6,453.1,423.7,430.9,93920342.898739
2024-09-14T12:00:00,431,442,426.9,437.2,43499915.611922
2024-09-14T16:00:00,436.8,439.5,417.6,434,29101233.273014
2024-09-14T20:00:00,433.5,473,432,471,53447104.014725
2024-09-15T00:00:00,471,504.2,463,499.5,191909813.860472
2024-09-15T04:00:00,499.5,538.2,496.5,504,184705518.86916
2024-09-15T08:00:00,503.8,514.9,484.2,505.9,83808750.941368
2024-09-15T12:00:00,505.4,552.8,501.6,524.9,181551388.870512
2024-09-15T16:00:00,524.9,549.9,505.3,541.3,42169833.179562
2024-09-15T20:00:00,541.3,542.3,518,524.5,37648612.866239
2024-09-16T00:00:00,524.4,555.5,484.5,522.8,206250641.77246
2024-09-16T04:00:00,522.8,547,504,517,86219399.8488
2024-09-16T08:00:00,516.9,537,510,517.2,56421692.023002
2024-09-16T12:00:00,516.5,544.3,494.8,519.8,90572564.865926
2024-09-16T16:00:00,519.7,533.6,511.3,528.2,19236505.776978
2024-09-16T20:00:00,528.1,581.3,520.6,580.8,69191295.827539
2024-09-17T00:00:00,580.5,641,556,630.1,189627613.514707
2024-09-17T04:00:00,631,656,616.3,649.1,95681351.266922
2024-09-17T08:00:00,648.9,748.8,637.4,700.7,261910527.219428
2024-09-17T12:00:00,700.7,722.1,682.6,712,107890041.925875
2024-09-17T16:00:00,711.4,867,698.4,852,174680780.714856
2024-09-17T20:00:00,851.9,909,834.1,865.6,147185498.121306
2024-09-18T00:00:00,863.6,1000,858.7,979.4,299888098.960432
2024-09-18T04:00:00,979.4,980.2,827.4,934.7,218669533.631866
2024-09-18T08:00:00,933.7,934.7,830.5,852.4,149829168.801586
2024-09-18T12:00:00,852.8,918,845.7,885,109368279.056085
2024-09-18T16:00:00,884.6,936,855.5,868.3,64937538.760504
2024-09-18T20:00:00,868.7,910,863,898.8,38919656.844974
2024-09-19T00:00:00,897.5,922.9,849.2,877,95338607.25775
2024-09-19T04:00:00,877,990,876.9,897.7,192110296.096814
2024-09-19T08:00:00,897,950,870.2,920,111217849.845167
2024-09-19T12:00:00,919.7,930.7,880.5,900.9,79705326.92807
2024-09-19T16:00:00,901.5,947.9,891.4,908.5,41715341.210514
2024-09-19T20:00:00,909.3,935,907.1,916.5,25949036.127913
2024-09-20T00:00:00,916.6,948.2,880,892.2,98680971.430234
2024-09-20T04:00:00,892.1,906.7,833.2,855,76481883.771296
2024-09-20T08:00:00,855,897.5,780,789.8,122651393.715941
2024-09-20T12:00:00,789.8,877.7,765.8,867.4,134285250.663876
2024-09-20T16:00:00,867.4,923.2,861.5,878.7,89798644.358322
2024-09-20T20:00:00,880.4,909.9,871.1,879,48544880.471926
2024-09-21T00:00:00,880.4,894.9,799.1,810.5,94099249.156034
2024-09-21T04:00:00,810,832.8,801.6,813.3,34974915.921488
2024-09-21T08:00:00,813.2,849,810,820,56059634.586734
2024-09-21T12:00:00,818.1,834.9,806,817.9,46627320.777047
2024-09-21T16:00:00,818.4,820.1,784.6,793.4,31058114.017273
2024-09-21T20:00:00,793.4,805,784.9,791.1,23827523.768669
2024-09-22T00:00:00,791.1,799.8,720,735.1,86755525.011453
2024-09-22T04:00:00,735.1,744.3,714.3,738.4,37743571.856549
2024-09-22T08:00:00,738.1,758.2,722,724.5,45088061.856465
2024-09-22T12:00:00,724.5,735,709,718.3,31137016.828171
2024-09-22T16:00:00,718.2,734.7,700,703.2,17119248.477528
2024-09-22T20:00:00,703.2,749.8,686.6,730.1,43654119.132326
2024-09-23T00:00:00,730.4,776.2,719.2,743.5,111493611.078019
2024-09-23T04:00:00,743.5,748.9,717.3,722.6,32268321.05544
2024-09-23T08:00:00,722.6,739.6,710,711,29027109.440844
2024-09-23T12:00:00,710.8,753,709.7,741.6,50921068.955427
2024-09-23T16:00:00,741.6,749,725.7,734.8,8271174.796436
2024-09-23T20:00:00,734.8,849.5,732.4,846,100303499.086514
2024-09-24T00:00:00,846,937.4,819,908.1,189702324.201658
2024-09-24T04:00:00,908.8,964.6,877,954.4,132094033.832065
2024-09-24T08:00:00,954.4,980,891.3,913,149477868.954163
2024-09-24T12:00:00,913,927,902.9,914.5,53369784.847065
