datetime,open,high,low,close,volume
2024-12-17T00:00:00,35260,46600,31890,33770,18245539.490185
2024-12-17T04:00:00,33780,34840,32310,32820,3219373.568088
2024-12-17T08:00:00,32820,33220,29130,29490,3727570.555547
2024-12-17T12:00:00,29530,30170,26530,26900,3292589.234677
2024-12-17T16:00:00,26890,28640,26880,27520,1124316.693881
2024-12-17T20:00:00,27600,27850,25010,26060,1027375.505518
2024-12-18T00:00:00,26050,26050,22380,24300,3116232.392687
2024-12-18T04:00:00,24300,25490,23220,25270,1257547.701292
2024-12-18T08:00:00,25270,27090,24770,25650,2266896.466732
2024-12-18T12:00:00,25650,26080,24420,24620,719259.354823
2024-12-18T16:00:00,24620,25370,24030,24030,261054.597691
2024-12-18T20:00:00,24030,24760,22950,23900,546049.946895
2024-12-19T00:00:00,23910,24850,22890,24450,1076705.308064
2024-12-19T04:00:00,24450,26670,24130,25260,1546092.673263
2024-12-19T08:00:00,25240,25350,24380,24660,507770.32051
2024-12-19T12:00:00,24660,25250,23590,23770,601636.348312
2024-12-19T16:00:00,23750,23960,22380,22760,275853.301062
2024-12-19T20:00:00,22840,23620,22250,23050,195724.718176
2024-12-20T00:00:00,23050,25400,22690,24450,1830651.230091
2024-12-20T04:00:00,24450,26170,24370,24500,1771742.732256
2024-12-20T08:00:00,24480,24570,22500,23370,1027850.021987
2024-12-20T12:00:00,23350,27760,23260,26350,3458767.946723
2024-12-20T16:00:00,26380,26940,25420,26600,714181.179502
2024-12-20T20:00:00,26590,29610,26120,29530,1775655.780242
2024-12-21T00:00:00,29550,34000,28100,28740,6021422.462323
2024-12-21T04:00:00,28750,30420,28220,29970,1000403.793735
2024-12-21T08:00:00,29970,30740,29040,29840,1399670.42918
2024-12-21T12:00:00,29860,30090,27110,28350,1077815.717577
2024-12-21T16:00:00,28350,29370,28040,28520,249383.65306
2024-12-21T20:00:00,28690,29350,27380,28070,262502.162086
2024-12-22T00:00:00,28070,29470,26700,26960,1095808.43054
2024-12-22T04:00:00,26970,27490,26130,27000,352528.929023
2024-12-22T08:00:00,27000,28190,26520,27870,251439.3091
2024-12-22T12:00:00,27850,27940,25880,26140,363376.238946
2024-12-22T16:00:00,26160,27500,25780,26980,123855.608352
2024-12-22T20:00:00,26930,26960,25970,26540,175073.467895
2024-12-23T00:00:00,26530,26540,24400,25280,487098.038904
2024-12-23T04:00:00,25280,25520,24170,24330,252857.72826
2024-12-23T08:00:00,24300,24790,24250,24460,244564.581222
2024-12-23T12:00:00,24470,24990,23810,24020,454583.186339
2024-12-23T16:00:00,24020,25430,24020,25320,152681.35779
2024-12-23T20:00:00,25350,25980,25100,25660,231927.30458
2024-12-24T00:00:00,25650,26580,25160,25860,445883.050546
2024-12-24T04:00:00,25860,26120,25180,25370,242272.373624
2024-12-24T08:00:00,25370,26210,25320,25900,217413.560968
2024-12-24T12:00:00,25900,27330,25720,26740,295362.381847
2024-12-24T16:00:00,26750,26930,25900,25940,145332.786957
2024-12-24T20:00:00,25910,26580,25590,26500,148695.621225
2024-12-25T00:00:00,26500,30290,26160,28210,2326591.9358
2024-12-25T04:00:00,28210,28880,27410,27700,700903.274356
2024-12-25T08:00:00,27700,28550,26950,27200,399207.961122
2024-12-25T12:00:00,27190,29340,27140,29040,628015.824941
