datetime,open,high,low,close,volume
2025-04-16T08:00:00,435.5,920,435.5,636.8,307503996.501924
2025-04-16T12:00:00,636.8,638,526,570.6,121226322.057496
2025-04-16T16:00:00,571,600.9,533.1,581.6,25874002.670073
2025-04-16T20:00:00,581.5,695.6,575.9,630.7,63858814.086089
2025-04-17T00:00:00,630.7,728.8,560.3,608.4,96865245.663929
2025-04-17T04:00:00,605.9,611.7,571,580.4,35379426.217092
2025-04-17T08:00:00,578.3,589.4,549,569,17623473.229382
2025-04-17T12:00:00,569.5,597.2,553,561.7,16898442.585961
2025-04-17T16:00:00,561.7,584.3,546.9,563.6,6341504.181724
2025-04-17T20:00:00,563.6,586.5,555,580,9548562.103012
2025-04-18T00:00:00,578.6,617,530,536.1,41596382.524678
2025-04-18T04:00:00,535.7,537.1,504.6,509.7,20045117.662447
2025-04-18T08:00:00,509.7,520.9,507,517.8,9490467.908066
2025-04-18T12:00:00,516.7,516.7,498.2,512.2,8395044.458852
2025-04-18T16:00:00,511.6,511.6,487,496.2,6890848.945672
2025-04-18T20:00:00,495.2,550,493.4,510.2,15633063.824007
