datetime,open,high,low,close,volume
2025-12-15T08:00:00,430,455,392,403,169835793.812469
2025-12-15T12:00:00,403,408,338,345,102707868.11588
2025-12-15T16:00:00,345,353,323,327,24625801.384172
2025-12-15T20:00:00,327,339,317,333,26132924.089501
2025-12-16T00:00:00,331,342,298,301,53071230.726231
2025-12-16T04:00:00,301,321,296,306,31984787.294394
2025-12-16T08:00:00,306,313,294,309,28181963.833996
2025-12-16T12:00:00,308,308,296,304,17220946.469512
2025-12-16T16:00:00,303,304,292,301,7930258.354815
2025-12-16T20:00:00,301,312,301,309,8470169.368655
2025-12-17T00:00:00,309,330,296,301,62997315.06226
2025-12-17T04:00:00,300,306,294,300,12718920.682558
2025-12-17T08:00:00,300,315,298,305,18906662.463798
2025-12-17T12:00:00,305,322,304,307,21557772.687344
2025-12-17T16:00:00,308,318,298,301,8681743.265067
2025-12-17T20:00:00,300,314,299,310,6560439.869683
