datetime,open,high,low,close,volume
2025-09-25T12:00:00,1139,1375,979,1270,542379058.686823
2025-09-25T16:00:00,1269,1776,1248,1776,303402916.46112
2025-09-25T20:00:00,1774,2099,1710,1855,217911914.827025
2025-09-26T00:00:00,1852,1969,1622,1840,152134935.448306
2025-09-26T04:00:00,1841,2061,1703,1729,174806450.316481
2025-09-26T08:00:00,1732,1895,1653,1712,73639501.12167
2025-09-26T12:00:00,1711,1851,1621,1786,79737836.370935
2025-09-26T16:00:00,1786,1995,1759,1800,37552777.936879
2025-09-26T20:00:00,1798,1826,1657,1759,22788856.318728
2025-09-27T00:00:00,1759,2031,1714,1969,68983526.345018
2025-09-27T04:00:00,1969,2312,1925,2186,118755378.907774
2025-09-27T08:00:00,2184,2225,2047,2126,53521341.195687
2025-09-27T12:00:00,2126,2175,1990,2131,44615116.055031
2025-09-27T16:00:00,2134,2341,2091,2275,33838591.263466
2025-09-27T20:00:00,2275,2401,2242,2342,29422418.758524
2025-09-28T00:00:00,2343,2445,2259,2283,59291721.952291
2025-09-28T04:00:00,2285,2291,2140,2259,28866100.066947
2025-09-28T08:00:00,2259,2285,2034,2048,42362158.812727
2025-09-28T12:00:00,2048,2138,1970,2056,38094616.284741
2025-09-28T16:00:00,2056,2118,1955,2002,10112482.841734
2025-09-28T20:00:00,2001,2101,1975,2080,14904741.256981
2025-09-29T00:00:00,2080,2216,1967,2007,44594023.048355
2025-09-29T04:00:00,2007,2014,1845,1887,28214322.021759
2025-09-29T08:00:00,1887,1938,1805,1856,31297985.944421
2025-09-29T12:00:00,1856,1907,1762,1787,24213495.390637
2025-09-29T16:00:00,1789,1818,1657,1753,9327834.460752
2025-09-29T20:00:00,1753,1783,1647,1709,8276794.922886
2025-09-30T00:00:00,1711,1787,1653,1688,27957114.031273
2025-09-30T04:00:00,1688,1730,1590,1612,17799438.867108
2025-09-30T08:00:00,1612,1636,1480,1556,18296250.536686
2025-09-30T12:00:00,1556,1589,1370,1416,19806481.327264
2025-09-30T16:00:00,1415,1516,1406,1485,7163326.295863
2025-09-30T20:00:00,1483,1546,1408,1453,8139900.219545
2025-10-01T00:00:00,1453,1531,1358,1360,25970112.138801
2025-10-01T04:00:00,1366,1389,1273,1341,27354023.404164
2025-10-01T08:00:00,1341,1548,1320,1507,30848102.07377
2025-10-01T12:00:00,1507,1522,1311,1339,17979894.100097
2025-10-01T16:00:00,1338,1384,1222,1231,23187819.850618
2025-10-01T20:00:00,1228,1376,1193,1338,19600414.733177
2025-10-02T00:00:00,1336,1436,1310,1318,33957915.667069
2025-10-02T04:00:00,1319,1368,1290,1353,18581856.154408
2025-10-02T08:00:00,1353,1449,1343,1408,16447708.489606
2025-10-02T12:00:00,1406,1467,1307,1340,25697012.521082
2025-10-02T16:00:00,1338,1367,1296,1338,9552206.853617
2025-10-02T20:00:00,1339,1351,1222,1323,13880050.515711
2025-10-03T00:00:00,1323,1345,1255,1274,12994838.275492
2025-10-03T04:00:00,1274,1329,1271,1319,6524105.064768
2025-10-03T08:00:00,1319,1324,1241,1263,11435641.377923
2025-10-03T12:00:00,1263,1293,1207,1243,17991856.131857
2025-10-03T16:00:00,1243,1266,1175,1233,21874570.139638
2025-10-03T20:00:00,1232,1251,1206,1234,10749579.959362
2025-10-04T00:00:00,1234,1244,1199,1242,14916072.226821
2025-10-04T04:00:00,1241,1349,1238,1310,28932372.399092
2025-10-04T08:00:00,1310,1354,1275,1337,27261634.683431
2025-10-04T12:00:00,1337,1343,1215,1234,21854522.04499
2025-10-04T16:00:00,1234,1238,1188,1223,11836743.222902
2025-10-04T20:00:00,1224,1247,1212,1236,5940165.955823
2025-10-05T00:00:00,1237,1271,1203,1250,17787736.500908
2025-10-05T04:00:00,1251,1280,1241,1260,11390413.1637
2025-10-05T08:00:00,1260,1262,1213,1228,13668973.193433
2025-10-05T12:00:00,1228,1345,1222,1333,31986966.668406
2025-10-05T16:00:00,1333,1355,1273,1302,11279981.614815
2025-10-05T20:00:00,1302,1342,1287,1328,8434571.726812
2025-10-06T00:00:00,1328,1350,1255,1286,16701034.453553
2025-10-06T04:00:00,1285,1297,1257,1270,7770835.900453
2025-10-06T08:00:00,1271,1281,1235,1280,12318955.119504
2025-10-06T12:00:00,1279,1314,1264,1302,10182582.989328
2025-10-06T16:00:00,1300,1412,1289,1405,13430141.406098
2025-10-06T20:00:00,1405,1511,1358,1482,23615070.816882
2025-10-07T00:00:00,1483,1539,1474,1489,30039956.137412
2025-10-07T04:00:00,1489,1520,1430,1433,17433916.36459
2025-10-07T08:00:00,1433,1435,1381,1410,14308012.155941
2025-10-07T12:00:00,1410,1454,1327,1342,21279572.414174
2025-10-07T16:00:00,1342,1345,1289,1311,9247265.275767
2025-10-07T20:00:00,1310,1341,1305,1332,4869197.488507
2025-10-08T00:00:00,1331,1333,1247,1272,13442836.568929
2025-10-08T04:00:00,1272,1296,1259,1268,5987215.72228
2025-10-08T08:00:00,1270,1289,1247,1255,5350201.159506
2025-10-08T12:00:00,1254,1277,1235,1253,6111332.503434
2025-10-08T16:00:00,1252,1283,1250,1267,3589334.130014
2025-10-08T20:00:00,1269,1277,1246,1271,3620632.853254
2025-10-09T00:00:00,1271,1271,1146,1182,25061646.744633
2025-10-09T04:00:00,1181,1182,1138,1158,10958356.401614
2025-10-09T08:00:00,1158,1158,1068,1107,26434344.199634
2025-10-09T12:00:00,1107,1129,1075,1094,14623899.127692
2025-10-09T16:00:00,1092,1128,1079,1090,6094881.826723
2025-10-09T20:00:00,1092,1103,1040,1087,5805336.628798
2025-10-10T00:00:00,1086,1111,1066,1079,12941869.530722
2025-10-10T04:00:00,1079,1090,1028,1044,10675511.024661
2025-10-10T08:00:00,1042,1062,1040,1041,5847068.77534
2025-10-10T12:00:00,1041,1069,948,960,28063129.918377
2025-10-10T16:00:00,961,986,943,972,9814567.847863
2025-10-10T20:00:00,973,978,712,733,65446889.985551
