datetime,open,high,low,close,volume
2024-05-03T08:00:00,1608,2688,1608,2219,85835190.246027
2024-05-03T12:00:00,2218,2300,2192,2236,24358266.836349
2024-05-03T16:00:00,2236,2240,2191,2225,4580373.07786
2024-05-03T20:00:00,2226,2290,2215,2242,14087173.636376
2024-05-04T00:00:00,2242,2357,2162,2177,26457114.049855
2024-05-04T04:00:00,2179,2266,2162,2256,6258138.99937
2024-05-04T08:00:00,2256,2293,2230,2241,6358639.658799
2024-05-04T12:00:00,2241,2272,2206,2239,5811923.44977
2024-05-04T16:00:00,2239,2519,2225,2480,5845531.037619
2024-05-04T20:00:00,2480,2540,2310,2322,8593883.304688
2024-05-05T00:00:00,2320,2347,2242,2289,5541811.339852
2024-05-05T04:00:00,2288,2400,2276,2288,10100858.61061
2024-05-05T08:00:00,2289,2314,2259,2313,3124573.010028
2024-05-05T12:00:00,2313,2586,2301,2452,24106962.946452
2024-05-05T16:00:00,2453,2499,2371,2373,3538901.908789
2024-05-05T20:00:00,2373,2445,2363,2425,4738929.87309
2024-05-06T00:00:00,2425,2665,2413,2553,23503506.741905
2024-05-06T04:00:00,2553,2643,2501,2518,15528883.298839
2024-05-06T08:00:00,2518,2563,2490,2500,9218754.59299
2024-05-06T12:00:00,2500,2517,2371,2415,8291377.241161
2024-05-06T16:00:00,2415,2426,2331,2378,1945670.469134
2024-05-06T20:00:00,2378,2463,2352,2361,2100379.228937
2024-05-07T00:00:00,2361,2403,2292,2302,6944269.216588
2024-05-07T04:00:00,2302,2322,2273,2278,2192983.892751
2024-05-07T08:00:00,2281,2368,2279,2322,2935950.69605
2024-05-07T12:00:00,2322,2368,2308,2322,1502017.080397
2024-05-07T16:00:00,2322,2352,2292,2305,399426.632493
2024-05-07T20:00:00,2313,2320,2220,2229,1708162.231999
2024-05-08T00:00:00,2229,2260,2179,2232,2471221.536134
2024-05-08T04:00:00,2230,2232,2172,2182,1333528.614142
2024-05-08T08:00:00,2182,2211,2142,2155,1153846.827761
2024-05-08T12:00:00,2155,2197,2145,2172,984172.620097
2024-05-08T16:00:00,2172,2219,2145,2160,482037.622217
2024-05-08T20:00:00,2160,2169,2100,2139,893073.202899
2024-05-09T00:00:00,2139,2182,2113,2172,1226328.075999
2024-05-09T04:00:00,2175,2209,2136,2142,1861936.076867
2024-05-09T08:00:00,2142,2152,2091,2117,1262581.234782
2024-05-09T12:00:00,2119,2194,2116,2191,1666087.796919
2024-05-09T16:00:00,2191,2205,2155,2168,436007.113058
2024-05-09T20:00:00,2169,2283,2163,2277,1806972.059092
2024-05-10T00:00:00,2278,2410,2255,2371,11731399.118502
2024-05-10T04:00:00,2373,2375,2289,2327,4357617.603288
2024-05-10T08:00:00,2321,2384,2317,2370,2946186.788806
2024-05-10T12:00:00,2370,2453,2310,2322,8356903.561153
2024-05-10T16:00:00,2322,2355,2284,2319,1526870.254606
2024-05-10T20:00:00,2318,2369,2281,2358,2228816.668724
2024-05-11T00:00:00,2361,2375,2293,2310,2991019.106681
2024-05-11T04:00:00,2309,2446,2288,2425,3523561.757741
2024-05-11T08:00:00,2424,2507,2377,2400,16001611.972499
2024-05-11T12:00:00,2399,2488,2385,2440,7024168.624144
2024-05-11T16:00:00,2441,2479,2403,2440,1310501.884087
2024-05-11T20:00:00,2437,2437,2380,2386,1135192.99572
2024-05-12T00:00:00,2386,2433,2365,2378,3092540.118497
2024-05-12T04:00:00,2378,2415,2346,2353,2547807.363262
2024-05-12T08:00:00,2355,2378,2332,2345,1013838.491278
2024-05-12T12:00:00,2350,2350,2305,2308,898312.208584
2024-05-12T16:00:00,2308,2335,2285,2289,418432.846164
2024-05-12T20:00:00,2289,2305,2266,2288,1513160.013912
2024-05-13T00:00:00,2288,2315,2139,2167,4047125.246005
2024-05-13T04:00:00,2168,2214,2124,2198,1487559.051652
2024-05-13T08:00:00,2203,2237,2175,2204,1858068.206113
2024-05-13T12:00:00,2201,2225,2173,2198,1338650.363542
2024-05-13T16:00:00,2193,2250,2174,2191,428063.362232
2024-05-13T20:00:00,2196,2203,2176,2189,449197.88093
2024-05-14T00:00:00,2188,2200,2112,2128,1650450.254448
2024-05-14T04:00:00,2128,2171,2099,2170,1032933.082641
2024-05-14T08:00:00,2170,2229,2157,2211,858578.582502
2024-05-14T12:00:00,2211,2235,2151,2177,1044489.686245
2024-05-14T16:00:00,2172,2199,2146,2175,228406.519586
2024-05-14T20:00:00,2173,2175,2131,2152,235883.59004
2024-05-15T00:00:00,2152,2175,2111,2165,568773.525005
2024-05-15T04:00:00,2165,2165,2132,2144,310385.184915
2024-05-15T08:00:00,2149,2151,2076,2097,1000134.593011
2024-05-15T12:00:00,2092,2272,2089,2211,3804858.909966
2024-05-15T16:00:00,2213,2254,2197,2253,541900.254122
2024-05-15T20:00:00,2252,2320,2245,2278,1670188.062309
2024-05-16T00:00:00,2277,2331,2252,2284,2736090.807465
2024-05-16T04:00:00,2284,2487,2246,2396,7439365.777225
2024-05-16T08:00:00,2396,2408,2326,2353,4077873.268845
2024-05-16T12:00:00,2353,2366,2254,2285,2162454.586475
2024-05-16T16:00:00,2283,2294,2247,2261,512600.908114
2024-05-16T20:00:00,2261,2269,2225,2262,805959.288006
2024-05-17T00:00:00,2262,2326,2246,2267,2272895.534903
2024-05-17T04:00:00,2268,2304,2216,2297,1498184.6098
2024-05-17T08:00:00,2297,2315,2250,2278,1204288.213439
2024-05-17T12:00:00,2278,2317,2268,2300,1358276.821678
2024-05-17T16:00:00,2301,2311,2268,2280,586359.600859
2024-05-17T20:00:00,2275,2306,2271,2290,479275.622378
2024-05-18T00:00:00,2290,2350,2275,2323,1461157.78139
2024-05-18T04:00:00,2323,2341,2305,2308,868082.320786
2024-05-18T08:00:00,2309,2329,2308,2313,382926.150428
