datetime,open,high,low,close,volume
2025-12-26T08:00:00,164,390,164,247,519696164.661276
2025-12-26T12:00:00,247,255,201,205,154026453.036427
2025-12-26T16:00:00,205,234,204,218,80495341.027669
2025-12-26T20:00:00,218,226,212,224,41289785.035039
2025-12-27T00:00:00,224,250,207,219,185663695.824756
2025-12-27T04:00:00,219,232,213,227,70473339.167211
2025-12-27T08:00:00,228,251,224,229,117833026.195704
2025-12-27T12:00:00,228,240,221,224,59083166.460366
2025-12-27T16:00:00,224,232,222,228,12369695.243328
2025-12-27T20:00:00,228,234,225,229,11744111.879508
2025-12-28T00:00:00,229,248,225,239,103620327.96648
2025-12-28T04:00:00,239,244,232,233,25294466.6673
2025-12-28T08:00:00,234,235,216,218,37917062.886627
2025-12-28T12:00:00,218,220,209,213,16675488.1966
2025-12-28T16:00:00,213,215,206,215,7818389.208165
2025-12-28T20:00:00,214,216,211,212,9259434.043672
